points logz elbo diff
1 -7.04052915933911 -7.30130189267654 0.2607727333374301
2 -10.546619510881607 -11.783083457452644 1.2364639465710372
3 -14.153527201504717 -14.830287485517653 0.6767602840129356
4 -15.146668263052739 -16.12271307230749 0.976044809254752
5 -19.697979689057846 -20.106295607655127 0.4083159185972818
6 -21.358713777941777 -21.872984535562132 0.5142707576203556
7 -23.258070805295723 -23.826202834685397 0.5681320293896732
8 -24.58610042865053 -25.02263543293114 0.43653500428061065
9 -26.6648196730137 -27.405297039205767 0.7404773661920672
10 -27.23657517113453 -29.116413304325455 1.8798381331909262
11 -28.205114024714465 -30.30695771871509 2.1018436940006247
12 -29.39478061020452 -31.488434043083558 2.0936534328790373
13 -32.28987839064802 -33.84488693483607 1.5550085441880483
14 -33.32439859927622 -35.45597021528271 2.1315716160064895
15 -35.43397902279164 -37.33763501303378 1.903655990242143
16 -36.73418589473593 -38.80023646174229 2.066050567006357
17 -38.92089667180786 -40.96740320493743 2.0465065331295733
18 -40.105888731136766 -42.124408478642415 2.0185197475056498
19 -41.03601841846817 -43.187930164903634 2.1519117464354665
20 -42.25093396356573 -44.56471303919254 2.3137790756268117
21 -43.83867299371105 -45.962104138416166 2.1234311447051155
22 -46.04103914173356 -48.20127645781933 2.1602373160857695
23 -47.393919554312156 -49.44552388398613 2.051604329673971
24 -48.434924078748864 -50.60487443468189 2.1699503559330253
25 -49.7696616390309 -51.89813973883865 2.128478099807751
26 -51.27463966387061 -53.18089744704804 1.9062577831774306
27 -52.61576527167992 -54.646673350058705 2.0309080783787863
28 -53.85611588158022 -55.8257891578732 1.9696732762929798
29 -54.847810194810734 -56.924067911794495 2.0762577169837613
30 -56.144258791666005 -58.28007451244321 2.1358157207772024
31 -57.38695795647551 -59.53082589189037 2.1438679354148604
32 -58.56493075494002 -60.68546839765736 2.1205376427173377
33 -60.848911512262966 -62.94727308157857 2.098361569315607
34 -62.539258717743934 -64.63856555363992 2.0993068358959874
35 -63.504174183835936 -65.79721943274967 2.293045248913735
36 -67.37310140054004 -69.65502235148492 2.2819209509448797
37 -68.65076295181251 -70.7845164335375 2.1337534817249946
38 -69.85832841952947 -72.03486831461797 2.1765398950884958
39 -71.39825540881947 -73.55556924502889 2.1573138362094255
40 -72.48999448879813 -74.87312874902881 2.383134260230676
41 -73.81932946170613 -75.95331033978286 2.133980878076727
42 -75.35568271120475 -77.79029803711032 2.4346153259055683
43 -76.75784269978112 -79.13390613703245 2.3760634372513323
44 -78.18882456199381 -80.40637446942455 2.2175499074307368
45 -80.63587168633387 -82.76528862057876 2.1294169342448868
46 -82.49538108431112 -84.7091349036194 2.2137538193082804
47 -84.68224668397966 -86.70249130761795 2.020244623638291
48 -85.75845023988298 -87.80614137375204 2.0476911338690655
49 -89.71433249241501 -91.70316385870916 1.98883136629415
50 -92.97069666049387 -95.60288063505396 2.6321839745600926
60 -110.23934450734872 -112.01866627483957 1.7793217674908561
70 -128.81239467770345 -130.42159725454934 1.6092025768458882

