Time[MJD],RV_C[m/s],eRV_C[m/s],RV_A[m/s],eRV_A[m/s]
58710.457,0.47946573760781563,0.388,-0.1334657376078157,NaN
58710.45829,-1.8425372814345107,0.377,-0.13346271856548927,NaN
58710.45957,-2.628540269934492,0.387,-0.13345973006550768,NaN
58711.48779,0.7911585672562726,0.515,-0.1311585672562726,NaN
58711.49036,0.9871526633221436,0.481,-0.1311526633221436,NaN
58712.48697,-0.3699356927508145,0.356,-0.1290643072491855,NaN
58712.48823,-2.883938541616672,0.381,-0.12906145838332786,NaN
58712.48954,-0.7429415493343889,0.401,-0.12905845066561106,NaN
58714.49142,-0.647716278447188,0.337,-0.12428372155281193,NaN
58714.4927,0.484280802775692,0.338,-0.12428080277569205,NaN
58714.49398,0.7582778663321392,0.338,-0.12427786633213916,NaN
58715.49016,-1.2561437936677482,0.411,-0.12185620633225164,NaN
58715.49146,0.5488530554548887,0.405,-0.12185305545488873,NaN
58715.49275,-0.07715006786859396,0.438,-0.12184993213140605,NaN
58715.49404,-1.5191531877942444,0.426,-0.12184681220575562,NaN
58715.49533,-0.5121563042307822,0.397,-0.12184369576921787,NaN
58716.44779,1.1705787953942695,0.375,-0.11957879539426958,NaN
58716.44983,-1.5924258644886706,0.356,-0.11957413551132924,NaN
58716.45111,-1.0554287680751777,0.34,-0.11957123192482226,NaN
58716.45238,-1.5194316335686027,0.355,-0.11956836643139733,NaN
58719.45243,-2.053887833484993,0.421,-0.11311216651500668,NaN
58719.45374,-2.409892527708481,0.44,-0.11310747229151896,NaN
58719.45505,-2.2538972954911487,0.396,-0.11310270450885124,NaN
58719.45728,-3.24890557800668,0.433,-0.1130944219933199,NaN
58719.45856,-1.5879104251061318,0.47,-0.11308957489386823,NaN
58719.45994,-1.7329157254278105,0.445,-0.11308427457218968,NaN
58720.46221,2.2363632290023165,0.377,-0.11036322900231645,NaN
58720.46348,-1.7126458851185569,0.393,-0.11035411488144306,NaN
58720.46478,-3.0106552288760975,0.425,-0.11034477112390238,NaN
58720.46607,-0.6596645116982962,0.401,-0.11033548830170381,NaN
58720.46736,1.325326198005596,0.41,-0.11032619800559593,NaN
58720.46878,-3.353684033066831,0.367,-0.11031596693316902,NaN
58720.47008,-3.52069339993306,0.401,-0.11030660006693985,NaN
58720.47138,1.5362972364601988,0.396,-0.11029723646019882,NaN
58720.47269,-5.218712192298311,0.395,-0.11028780770168904,NaN
58720.47399,-2.8167215387066977,0.407,-0.1102784612933025,NaN
58720.47729,1.9042548061864446,0.378,-0.11025480618644462,NaN
58720.47861,-2.813754617961867,0.368,-0.11024538203813326,NaN
58720.47987,-3.000763588474772,0.389,-0.11023641152522815,NaN
58720.48118,1.7572271146524137,0.409,-0.11022711465241374,NaN
58720.48247,-2.9197820073957375,0.396,-0.11021799260426253,NaN
58720.48377,-3.2187911637315274,0.364,-0.11020883626847257,NaN
58720.48505,2.6881998598192154,0.407,-0.11019985981921564,NaN
58720.48637,-1.769809353175396,0.398,-0.11019064682460397,NaN
58720.48764,-4.0028181718348845,0.414,-0.11018182816511632,NaN
58720.48893,3.6851729193710563,0.367,-0.11017291937105599,NaN
58763.35867,0.4712804601812956,0.312,-0.011280460181295578,NaN
58763.35997,-1.1797225877340807,0.302,-0.011277412265919315,NaN
58763.36127,1.056274366634641,0.323,-0.011274366634641023,NaN
58763.36255,-0.6377286298860857,0.318,-0.01127137011391432,NaN
58763.36385,0.6072683290845263,0.294,-0.011268329084526334,NaN
58764.35912,-1.2790083646063852,0.401,-0.008991635393614798,NaN
58764.3602,0.008988667853110715,0.33,-0.008988667853110715,NaN
58764.36127,0.12798572493860821,0.322,-0.008985724938608226,NaN
58764.36232,0.04498283444110185,0.32,-0.008982834441101852,NaN
58764.36521,-1.1640251331979186,0.33,-0.008974866802081542,NaN
58764.36624,-0.31902797660606624,0.343,-0.00897202339393379,NaN
58764.36737,0.008968901972489736,0.33,-0.008968901972489736,NaN
58764.36842,1.3769659998848716,0.353,-0.008965999884871435,NaN
58764.36945,0.28796315169939124,0.332,-0.00896315169939121,NaN
58764.37052,0.33096019163791135,0.347,-0.008960191637911345,NaN
58764.37156,1.0369573135036219,0.333,-0.008957313503621868,NaN
58764.37262,-0.5360456208831732,0.339,-0.008954379116826878,NaN
58764.37367,0.8699514716886911,0.372,-0.008951471688691093,NaN
58764.37472,-1.213051436284917,0.319,-0.008948563715083109,NaN
58764.37772,0.007940253775409502,0.326,-0.008940253775409501,NaN
58764.37878,0.7829373176400055,0.353,-0.008937317640005516,NaN
58764.37983,-1.3880655904883878,0.351,-0.00893440951161211,NaN
58764.3809,0.3419314464866994,0.37,-0.008931446486699374,NaN
58764.38199,-2.420071571216972,0.352,-0.008928428783027863,NaN
58764.38304,1.3309255226740586,0.358,-0.008925522674058637,NaN
58764.38413,-0.8880774930701445,0.354,-0.008922506929855467,NaN
58764.38519,1.038919575417911,0.363,-0.008919575417911095,NaN
58764.38627,-0.031083409973529534,0.367,-0.008916590026470465,NaN
58764.38734,0.6399136338845192,0.358,-0.008913633884519205,NaN
58772.40906,-1.01062343360368,0.466,0.00962343360367999,NaN
58772.41033,0.9573736001271009,0.469,0.009626399872899007,NaN
58772.41161,-0.13262938802169216,0.457,0.009629388021692154,NaN
58772.41288,1.8023676486563602,0.445,0.00963235134363985,NaN
58772.41421,1.8133645469344244,0.448,0.009635453065575514,NaN
58780.25572,1.6641464046370051,0.35,0.02785359536299487,NaN
58780.25734,1.8711427282138797,0.345,0.027857271786120314,NaN
58780.25881,1.9111394198897986,0.343,0.027860580110201514,NaN
58780.26038,-0.5628640844685106,0.358,0.027864084468510568,NaN
58780.26177,-0.1278671621130423,0.345,0.027867162113042302,NaN
58795.34592,1.1673993226007153,0.358,0.06260067739928475,NaN
58795.34749,0.7943957250780819,0.339,0.06260427492191815,NaN
58795.34922,3.3833917601189762,0.375,0.06260823988102411,NaN
58795.35109,2.005387473306292,0.334,0.06261252669370768,NaN
58795.35307,0.24138293316597204,0.362,0.06261706683402797,NaN
58796.24113,3.1383150468088497,0.343,0.0646849531911502,NaN
58796.24203,0.791312954396084,0.332,0.06468704560391601,NaN
58796.2429,1.156310932842958,0.35,0.06468906715704223,NaN
58796.24375,-0.06369104117861568,0.353,0.06469104117861568,NaN
58796.24469,2.80130677700765,0.358,0.06469322299235003,NaN
58797.32983,0.3638215255726477,0.351,0.06717847442735232,NaN
58797.33069,2.835819573874598,0.354,0.06718042612540198,NaN
58797.33215,1.2628162590267904,0.374,0.0671837409732096,NaN
58797.33302,4.555814282828974,0.389,0.06718571717102616,NaN
58797.33387,0.4468123513934175,0.361,0.0671876486065825,NaN
58798.20111,2.1447670464039725,0.345,0.06923295359602745,NaN
58798.2066,0.4327536241927483,0.335,0.06924637580725171,NaN
58798.2087,2.279748519106412,0.374,0.06925148089358805,NaN
58798.20968,2.3297461424200225,0.347,0.06925385757997753,NaN
58798.21061,-0.5932561096144798,0.367,0.06925610961447985,NaN
58850.14085,-0.8071422110944517,0.362,0.1891422110944517,NaN
58850.14357,-0.8631482445852693,0.391,0.18914824458526922,NaN
58850.14617,0.07384595205655667,0.375,0.18915404794344334,NaN
58850.14965,0.6538381285502135,0.373,0.18916187144978644,NaN
58850.15348,-0.020170556738138057,0.399,0.18917055673813807,NaN
59059.47778,-0.9448888715937689,0.39,0.6728888715937689,NaN
59059.47896,3.396108446758598,0.385,0.672891553241402,NaN
59059.48014,3.0931057790763807,0.399,0.6728942209236194,NaN
59059.4813,1.3031031701954965,0.383,0.6728968298045036,NaN
59060.47867,0.06771996772180466,0.368,0.6752800322781953,NaN
59060.47983,0.3987171762625683,0.381,0.6752828237374318,NaN
59060.48092,0.5967145762477724,0.362,0.6752854237522277,NaN
59060.48192,0.6467122105334555,0.38,0.6752877894665446,NaN
59061.47967,1.9025665735960524,0.353,0.6774334264039477,NaN
59061.48107,0.30156332385132445,0.396,0.6774366761486755,NaN
59061.48239,1.044560262017303,0.384,0.6774397379826971,NaN
59063.48307,0.26991343575552706,0.412,0.6820865642444729,NaN
59063.48428,-0.6370893577062805,0.387,0.6820893577062805,NaN
59063.48549,-1.2020921453731694,0.383,0.6820921453731694,NaN
59065.48324,0.6734697122364981,0.35,0.686530287763502,NaN
59065.48541,-1.3495354078876844,0.374,0.6865354078876844,NaN
59065.48746,-1.5825403116395678,0.369,0.6865403116395677,NaN
59118.38375,-1.5328830496068184,0.369,0.8088830496068184,NaN
59118.38485,-0.844885587677611,0.349,0.808885587677611,NaN
59118.38613,-0.7988885407653109,0.349,0.8088885407653109,NaN
59119.37887,0.16681660401172904,0.331,0.8111833959882709,NaN
59119.38061,-0.15418742047302103,0.322,0.8111874204730211,NaN
59119.3825,-1.411191790662754,0.347,0.8111917906627542,NaN
59120.38363,-2.1904663254678685,0.341,0.8134663254678686,NaN
59120.38519,0.07353007027798508,0.349,0.8134699297220149,NaN
59120.38675,-0.8074735433129613,0.35,0.8134735433129613,NaN
59121.3744,-0.7847628284758222,0.32,0.8157628284758223,NaN
59121.37601,-1.8057665617737486,0.342,0.8157665617737486,NaN
59121.37753,-1.7907700935086899,0.316,0.8157700935086898,NaN
59121.3791,-0.3377737486735951,0.319,0.8157737486735951,NaN
59121.38062,-0.8157772944340655,0.341,0.8157772944340655,NaN
59122.35402,0.9478393003240845,0.357,0.8181606996759155,NaN
59122.35343,-0.7521593140528657,0.376,0.8181593140528658,NaN
59122.35557,0.4828356796616179,0.347,0.818164320338382,NaN
59122.35621,-0.3071658070621125,0.334,0.8181658070621125,NaN
59122.35687,-1.367167335187788,0.347,0.818167335187788,NaN
59130.30435,-0.3022143271574401,0.305,0.8362143271574402,NaN
59135.43171,1.0656303732910777,0.328,0.8483696267089224,NaN
59135.43256,-1.0743715021097116,0.339,0.8483715021097116,NaN
59135.43343,2.324626588948463,0.368,0.8483734110515367,NaN
59135.43425,1.0416247995347412,0.356,0.8483752004652586,NaN
59146.24691,0.6977353760505133,0.34,0.8732646239494867,NaN
59146.24982,2.1487285753340837,0.35,0.8732714246659161,NaN
59146.2513,-0.7502748783630505,0.356,0.8732748783630505,NaN
59146.25259,0.5187221141442465,0.349,0.8732778858557534,NaN
59146.25394,2.9967189696023744,0.348,0.8732810303976257,NaN
59153.37497,-0.9677194533756838,0.365,0.8897194533756838,NaN
59153.37608,1.108278104115234,0.371,0.8897218958847658,NaN
59153.3771,-1.100724140069923,0.364,0.889724140069923,NaN
59153.37817,-3.4337264940165175,0.383,0.8897264940165177,NaN
59153.37926,-1.9277288917467246,0.374,0.8897288917467246,NaN
