time	n	w1	w2	w3
1.000000000000000000e+00	-4.940181845405934302e-01	-1.394509594954873855e+01	-6.864786455082478867e-01	-9.180305876325189018e+00
3.000000000000000000e+00	-9.704387351012662144e-01	-1.445201746840679213e+01	-1.186221602725362922e+00	-9.075905631314592270e+00
4.000000000000000000e+00	-6.778431514803545666e-01	-1.465932576053427994e+01	-1.432711639729585373e+00	-9.024328216691602123e+00
5.000000000000000000e+00	9.475403755660932736e-02	-1.483320114561549552e+01	-1.676225249391187555e+00	-8.973174070021661564e+00
1.500000000000000000e+01	-5.994662730937420081e-01	-1.445343278553381694e+01	-3.870280463430829876e+00	-8.485844526622294381e+00
1.700000000000000000e+01	-5.967338669081169167e-01	-1.389122742834955027e+01	-4.248371939015853194e+00	-8.393725870458547789e+00
2.500000000000000000e+01	-6.575611480277527843e-01	-1.021882165137745346e+01	-5.584887180669611872e+00	-8.042395483838607362e+00
3.200000000000000000e+01	7.218891386440210445e-01	-5.723427575300082282e+00	-6.608936561687532851e+00	-7.755505644966459222e+00
3.300000000000000000e+01	5.221250623057253071e-01	-5.035762199798356598e+00	-6.750287041954186051e+00	-7.715901385727814699e+00
3.500000000000000000e+01	4.304750690168009375e-01	-3.652592439203794061e+00	-7.031264808742131223e+00	-7.637624147106829575e+00
4.200000000000000000e+01	-1.867559613807790730e-01	1.012808124248765873e+00	-8.000572216871370657e+00	-7.372350840530575766e+00
4.300000000000000000e+01	6.724000285659878506e-02	1.627525631423936359e+00	-8.136161840406080259e+00	-7.335411221542615046e+00
4.700000000000000000e+01	-3.564419017306227344e-01	3.885587358228621113e+00	-8.662150678098544887e+00	-7.189642083422006280e+00
4.800000000000000000e+01	3.806063755973239093e-01	4.393306964891645627e+00	-8.787835814382715327e+00	-7.153642633439202925e+00
5.100000000000000000e+01	-2.353273657216817805e-01	5.764696079456675726e+00	-9.144566640797574308e+00	-7.046566047758136442e+00
5.200000000000000000e+01	-6.890664435631216334e-01	6.169187399528325066e+00	-9.255261042452939790e+00	-7.011150952791128432e+00
5.500000000000000000e+01	-1.296285610006385092e+00	7.220443330661877823e+00	-9.556597250480661998e+00	-6.905631893478129335e+00
5.800000000000000000e+01	-1.431015317032990453e+00	8.029340949342186562e+00	-9.803201394609246222e+00	-6.801060088853157382e+00
6.500000000000000000e+01	-3.709613931386915309e-01	9.044436716742689342e+00	-1.011833663213265133e+01	-6.560047955102456640e+00
6.600000000000000000e+01	1.613721935689820253e-01	9.101331731354278531e+00	-1.013113677373645238e+01	-6.525922216700912770e+00
6.800000000000000000e+01	8.522499336840870798e-01	9.159007126120256359e+00	-1.013255540507438290e+01	-6.457897981649108665e+00
6.900000000000000000e+01	1.182664128450828356e+00	9.161995065303862873e+00	-1.012148215956591990e+01	-6.424000559965427293e+00
7.300000000000000000e+01	6.553634662077387207e-02	9.027858608560348941e+00	-1.000480649903021835e+01	-6.289266122424963079e+00
7.500000000000000000e+01	-5.846532063452988259e-01	8.888817991852336675e+00	-9.908399829158252459e+00	-6.222473594667906838e+00
7.900000000000000000e+01	-2.238615652517509935e-01	8.509305417995198795e+00	-9.659660990787507728e+00	-6.090330722638748639e+00
