BJD	Res	err
5.722218249587630999e+04	-9.381131631563377482e-02	1.210946156409876129e-01
5.722391687116972753e+04	5.075879725740151116e-02	1.144770759184670639e-01
5.723295181496451551e+04	1.192816717188875941e-01	1.140318969693467771e-01
5.723413024166393006e+04	7.351036205424854586e-01	1.128962269823025472e-01
5.723496810407444718e+04	-1.095716994164369851e+00	1.135403416482501787e-01
5.723608891514118295e+04	9.342370148752365822e-01	1.117335735146717801e-01
5.723785161063043779e+04	2.303498357154900589e-01	1.257453510480895653e-01
5.723907750609017239e+04	6.749489953043283919e-01	1.132481641261106065e-01
5.723992076011531753e+04	-6.232636950086742900e-01	1.171119484872257116e-01
5.724196113980243535e+04	4.967957408498389071e-01	1.186940062933511814e-01
5.725198008409460454e+04	-2.743886939794748514e-01	1.126141649960427787e-01
5.725287920852556999e+04	1.555485181954665563e-01	1.187033074802930493e-01
5.725392418441180052e+04	4.345236587895655589e-01	1.163029598972925432e-01
5.725511323002979771e+04	-1.715396627927098905e+00	1.147822435392672064e-01
5.725588684520369861e+04	-2.912924515217909516e-01	1.214756647372364634e-01
5.725914204134904867e+04	5.090047868295677347e-02	1.142447898900503661e-01
5.726113331115732581e+04	7.655776562622129688e-01	1.136866052022992984e-01
5.726193471214175224e+04	-9.325390094717427303e-01	1.180403728646552547e-01
5.726316294601008121e+04	-4.111492429088876577e-01	1.147516400187488239e-01
5.726397461389168893e+04	-5.586670325261273717e-01	1.156463594422649926e-01
5.726505711788827466e+04	1.925320480076777585e-01	1.147627258065252870e-01
5.726613164115887048e+04	-1.158052743302700804e+00	1.153437622782741007e-01
5.726691520497083548e+04	7.985856008262004480e-01	1.224799963164756450e-01
5.726786173013692314e+04	-5.469515570194580789e-01	1.243958102421445361e-01
5.726899904854912165e+04	-4.389665208607596014e-02	1.131740470270490989e-01
5.727003197692429239e+04	-8.374874656593149780e-01	1.147574183494910888e-01
5.727108115630353859e+04	1.070429183978447440e-01	1.149902583494899627e-01
5.727293564436733868e+04	-7.826730404141102326e-01	1.203904857808393153e-01
5.727404854122327379e+04	-1.419056226228896378e-01	1.177361051596291786e-01
5.727512443259388965e+04	-2.684266634972942711e-01	1.155446412533316369e-01
5.727799895966020995e+04	-4.072982191919471973e-01	1.157507897267749941e-01
5.727914781264035992e+04	-1.653645940212697951e-01	1.177406001100617799e-01
5.728009598712627485e+04	-4.757529502784194619e-01	1.159931739251796740e-01
5.728094982365499891e+04	5.204864124861785513e-01	1.180662053130835387e-01
5.728206901844918320e+04	5.443607176615650189e-01	1.153638861599073362e-01
5.728313381301489426e+04	9.208500493080151728e-02	1.164341884594571191e-01
5.729290288893938850e+04	7.221518907517356922e-01	1.234987753962108886e-01
5.729399593177351926e+04	-2.194918186265706339e-01	1.175551550757973351e-01
5.729486595496555674e+04	7.484866312620042095e-02	1.266749106604015407e-01
5.730110538716134761e+04	-7.351350140440082725e-01	1.318744231656448218e-01
5.730200421928437572e+04	1.589104731768671286e-01	1.130486679481327722e-01
5.730292134819882631e+04	1.223488858729631090e-01	1.196303628725233631e-01
5.730411825520274579e+04	-1.341844934915833676e+00	1.147737647343207018e-01
5.730694149808207294e+04	-1.931900871392926433e-01	1.169693251530112138e-01
5.730803354676790332e+04	-1.042871352770642801e+00	1.129395858717136547e-01
5.732195510678999563e+04	-3.127890760231757383e-01	1.124719999239470608e-01
