BJD	Res	err
5.722218249587630999e+04	-3.137102555891999600e-01	2.421892312819752258e-01
5.722391687116972753e+04	5.337727396464799767e-01	2.289541518369341555e-01
5.723295181496451551e+04	2.202222729844578453e-01	2.280637939386934987e-01
5.723413024166393006e+04	-7.339622702915420405e-01	2.257924539646047057e-01
5.723496810407444718e+04	-2.664032550855210957e-02	2.270806832965007460e-01
5.723608891514118295e+04	2.400817314765362198e-01	2.234671470293437545e-01
5.723785161063043779e+04	-1.237999041054536065e-01	2.514907020961793527e-01
5.723907750609017239e+04	1.585170626063785448e-01	2.264963282522208521e-01
5.723992076011531753e+04	2.894830917483659505e-02	2.342238969744510346e-01
5.724196113980243535e+04	-4.700759229173456788e-02	2.373880125867025292e-01
5.725198008409460454e+04	-6.923740794818371569e-01	2.252283299920853910e-01
5.725287920852556999e+04	1.453200078941989659e-01	2.374066149605860987e-01
5.725392418441180052e+04	4.607246509733045059e-01	2.326059197945850865e-01
5.725511323002979771e+04	-8.133214717375523151e-01	2.295644870785346070e-01
5.725588684520369861e+04	-2.450772878373470576e-01	2.429513294744727325e-01
5.725914204134904867e+04	-1.102159465597196686e-01	2.284895797801007322e-01
5.726113331115732581e+04	3.804814315377598177e-01	2.273732104045987912e-01
5.726193471214175224e+04	4.325980285710642192e-01	2.360807457293105094e-01
5.726316294601008121e+04	-4.858291462626027624e-01	2.295032800374976478e-01
5.726397461389168893e+04	-8.889608107637627654e-01	2.312927188845298188e-01
5.726505711788827466e+04	1.946448478476838773e-01	2.295254516130509348e-01
5.726613164115887048e+04	3.699035992879373680e-01	2.306875245565482013e-01
5.726691520497083548e+04	-1.926711905535540836e-01	2.449599926329510680e-01
5.726786173013692314e+04	-7.813626941531168768e-01	2.487916204842890722e-01
5.726899904854912165e+04	-1.372412360385339980e-01	2.263480940540980590e-01
5.727003197692429239e+04	4.050060814567189027e-01	2.295148366989823441e-01
5.727108115630353859e+04	-2.152590517580108553e-01	2.299805166989797589e-01
5.727293564436733868e+04	-1.306585294710913558e-01	2.407809715616784640e-01
5.727404854122327379e+04	-6.894189293466013169e-02	2.354722103192583293e-01
5.727512443259388965e+04	-4.278432138325172218e-01	2.310892825066630796e-01
5.727799895966020995e+04	3.089501500151783375e-01	2.315015794535501825e-01
5.727914781264035992e+04	3.291414222964874625e-01	2.354812002201237542e-01
5.728009598712627485e+04	-2.615212980318943892e-01	2.319863478503593479e-01
5.728094982365499891e+04	-4.526040511121465215e-01	2.361324106261674383e-01
5.728206901844918320e+04	-8.633904345472842579e-02	2.307277723198144503e-01
5.728313381301489426e+04	2.366475435491111057e-02	2.328683769189144603e-01
5.729290288893938850e+04	2.413786636746095837e-01	2.469975507924217772e-01
5.729399593177351926e+04	3.766450422293274869e-01	2.351103101515944760e-01
5.729486595496555674e+04	-5.420417088501778835e-01	2.533498213208029148e-01
5.730110538716134761e+04	1.792407584233899343e-01	2.637488463312896436e-01
5.730200421928437572e+04	2.246942704735204188e-01	2.260973358962653501e-01
5.730292134819882631e+04	-1.014305926281053871e+00	2.392607257450469482e-01
5.730411825520274579e+04	3.031624896907203492e-02	2.295475294686412093e-01
5.730694149808207294e+04	-3.646277884045616702e-01	2.339386503060224276e-01
5.730803354676790332e+04	-2.084780925814868624e-01	2.258791717434268931e-01
5.732195510678999563e+04	3.538137512838801513e-01	2.249439998478941216e-01
5.732393824093314470e+04	1.757551463864786001e-01	2.275780016290738228e-01
5.732503690046801057e+04	-1.882745724589938163e-01	2.224498441926131276e-01
5.732602413406591950e+04	-3.468070834007761505e-01	2.214012169297621957e-01
5.732791467010226188e+04	-1.743515620116795617e-01	2.351460179737770995e-01
5.732892672839445731e+04	2.749710544743635410e-01	2.313637660167795207e-01
5.733014761128581449e+04	-6.931852963928264444e-01	2.304470035346635193e-01
5.733089984056852700e+04	-1.013172158977653226e-01	2.377443285704150810e-01
5.733196093302501686e+04	1.130232141748308550e-01	2.246496625875575859e-01
5.733296084970870288e+04	3.994497681522517496e-01	2.245153996598886204e-01
5.733409681480474683e+04	7.961067042258491711e-01	2.239665585356479804e-01
5.733490896242979943e+04	-1.119453697240516021e+00	2.387090192975763747e-01
5.734501944719991297e+04	3.987785599774014145e-01	2.258203858451659218e-01
5.734695019914199656e+04	-1.884705969912658929e-02	2.303784391636905238e-01
5.734791556843950821e+04	-2.578886274962428615e-01	2.374988231331209010e-01
5.734997599724294560e+04	6.140716844093105919e-01	2.261986603095026693e-01
5.735117235232754319e+04	-5.793520816834103471e-01	2.454104918988947448e-01
5.735307491231716995e+04	-5.347972973039105682e-01	2.323631497716628080e-01
5.735491036255299696e+04	6.250940268777895881e-01	2.472497679538085968e-01
5.736092306400713278e+04	-6.470065619876947949e-01	2.445731862318039906e-01
5.736797031061255257e+04	2.435583660805917816e-01	2.352513788559769115e-01
5.737199894209040212e+04	-5.323262418244780747e-01	2.390086516806708694e-01
