BJD	Res	err
5.722218249587630999e+04	-2.446135973987111356e-01	2.421892312819752258e-01
5.722391687116972753e+04	-1.206469639737406396e-01	2.289541518369341555e-01
5.723295181496451551e+04	5.416279087294242345e-01	2.280637939386934987e-01
5.723413024166393006e+04	-1.759476821874159214e+00	2.257924539646047057e-01
5.723496810407444718e+04	9.690676073341819574e-01	2.270806832965007460e-01
5.723608891514118295e+04	8.109738848543202039e-01	2.234671470293437545e-01
5.723785161063043779e+04	9.801181977445594384e-01	2.514907020961793527e-01
5.723907750609017239e+04	-1.441603930100427533e+00	2.264963282522208521e-01
5.723992076011531753e+04	-4.861978834851470310e-01	2.342238969744510346e-01
5.724196113980243535e+04	2.588769344333741174e+00	2.373880125867025292e-01
5.725198008409460454e+04	-4.954701288215801469e-01	2.252283299920853910e-01
5.725287920852556999e+04	2.097316503668480436e-01	2.374066149605860987e-01
5.725392418441180052e+04	-1.004991700201571803e+00	2.326059197945850865e-01
5.725511323002979771e+04	-4.004975912539521232e-01	2.295644870785346070e-01
5.725588684520369861e+04	-2.997476686541631352e-01	2.429513294744727325e-01
5.725914204134904867e+04	1.272354431715029932e+00	2.284895797801007322e-01
5.726113331115732581e+04	1.371300601002076291e+00	2.273732104045987912e-01
5.726193471214175224e+04	-2.763454829464535578e-01	2.360807457293105094e-01
5.726316294601008121e+04	-1.246092326482539647e+00	2.295032800374976478e-01
5.726397461389168893e+04	-6.564425572405525600e-01	2.312927188845298188e-01
5.726505711788827466e+04	5.818325605059726513e-01	2.295254516130509348e-01
5.726613164115887048e+04	-3.830916590723063564e-01	2.306875245565482013e-01
5.726691520497083548e+04	-7.042736071634863038e-01	2.449599926329510680e-01
5.726786173013692314e+04	-4.204597953084885376e-01	2.487916204842890722e-01
5.726899904854912165e+04	2.913322808490192983e-01	2.263480940540980590e-01
5.727003197692429239e+04	-2.596389593218191294e-01	2.295148366989823441e-01
5.727108115630353859e+04	-2.329309164915684960e-01	2.299805166989797589e-01
5.727293564436733868e+04	-1.987072880019695731e-01	2.407809715616784640e-01
5.727404854122327379e+04	-3.820102847494126763e-01	2.354722103192583293e-01
5.727512443259388965e+04	-6.975705722979910206e-01	2.310892825066630796e-01
5.727799895966020995e+04	6.425148172693297965e-01	2.315015794535501825e-01
5.727914781264035992e+04	2.967349739392375341e-01	2.354812002201237542e-01
5.728009598712627485e+04	3.938395888981176540e-01	2.319863478503593479e-01
5.728094982365499891e+04	-1.890481106049264781e+00	2.361324106261674383e-01
5.728206901844918320e+04	2.096559887724652071e+00	2.307277723198144503e-01
5.728313381301489426e+04	-6.702709309975034557e-01	2.328683769189144603e-01
5.729290288893938850e+04	9.927884439539411687e-01	2.469975507924217772e-01
5.729399593177351926e+04	2.235320631295508065e+00	2.351103101515944760e-01
5.729486595496555674e+04	-6.494834081058797892e-01	2.533498213208029148e-01
5.730110538716134761e+04	4.208405863073494402e-01	2.637488463312896436e-01
5.730200421928437572e+04	3.851367657080118079e-02	2.260973358962653501e-01
5.730292134819882631e+04	-1.277610702661149844e+00	2.392607257450469482e-01
5.730411825520274579e+04	9.001317377806117292e-02	2.295475294686412093e-01
5.730694149808207294e+04	-1.472856674728063808e+00	2.339386503060224276e-01
5.730803354676790332e+04	-8.835400948646565666e-02	2.258791717434268931e-01
5.732195510678999563e+04	-3.255026601800636854e-01	2.249439998478941216e-01
5.732393824093314470e+04	-1.855222021560621215e+00	2.275780016290738228e-01
5.732503690046801057e+04	4.034529207783634774e-01	2.224498441926131276e-01
5.732602413406591950e+04	1.001153599039753317e+00	2.214012169297621957e-01
5.732791467010226188e+04	-1.016235605642577866e+00	2.351460179737770995e-01
5.732892672839445731e+04	-8.676350336299947230e-01	2.313637660167795207e-01
5.733014761128581449e+04	1.507150827010264038e-01	2.304470035346635193e-01
5.733089984056852700e+04	8.906847371727053542e-01	2.377443285704150810e-01
5.733196093302501686e+04	1.171507999680216017e+00	2.246496625875575859e-01
5.733296084970870288e+04	7.093159282649139641e-01	2.245153996598886204e-01
5.733409681480474683e+04	-3.726120305709628155e-01	2.239665585356479804e-01
5.733490896242979943e+04	-1.791776785722504428e+00	2.387090192975763747e-01
5.734501944719991297e+04	6.722735696166637354e-02	2.258203858451659218e-01
5.734695019914199656e+04	9.664591875834958046e-01	2.303784391636905238e-01
5.734791556843950821e+04	3.574262648808144149e-01	2.374988231331209010e-01
5.734997599724294560e+04	-2.870995999173828750e-01	2.261986603095026693e-01
5.735117235232754319e+04	-5.780690864758071257e-01	2.454104918988947448e-01
5.735307491231716995e+04	-2.635740124696894782e-02	2.323631497716628080e-01
5.735491036255299696e+04	2.798326236825232627e-02	2.472497679538085968e-01
5.736092306400713278e+04	-9.611687238730155514e-01	2.445731862318039906e-01
5.736797031061255257e+04	9.786927896911947755e-01	2.352513788559769115e-01
5.737199894209040212e+04	1.864295062459859764e-01	2.390086516806708694e-01
5.737910503113822779e+04	7.995668084959106636e-01	2.399396273364346743e-01
5.737996942719434446e+04	1.672470306939430884e-01	2.419427497075271605e-01
5.738097406124865665e+04	-2.635338919690184412e-01	2.411191511461805714e-01
5.738614630625353311e+04	2.157388221507062553e+00	2.451819466539804093e-01
5.738694872872376436e+04	3.260800769940033206e-01	2.441281073255151535e-01
5.738800573108796380e+04	-2.818125768659228925e+00	2.361965167651444986e-01
5.739108672644887702e+04	5.480554357754954253e-01	2.375992519843309336e-01
5.739415124080735404e+04	-2.197045701113893301e-01	2.447852457803787185e-01
5.739493107354779204e+04	-3.349233441022079205e-01	2.492114736950870324e-01
5.739607887145155837e+04	1.505385993496020092e-01	2.373060913451529308e-01
5.739706415438615659e+04	9.069750108483276563e-02	2.365020711451294444e-01
5.739810578269722464e+04	1.152243034679486300e+00	2.375795862548002180e-01
5.739906009629162145e+04	-5.513699588336749002e-01	2.352909745982257050e-01
5.740593707657718187e+04	-9.248447975596718607e-01	2.509414295616715918e-01
5.740711138087360450e+04	6.371048196269839536e-01	2.385729941503596796e-01
5.740817011640279816e+04	-3.465815958315943135e-02	2.471393444536068851e-01
5.741299663055427663e+04	2.296340937573404517e-01	2.391164679402948412e-01
5.741416605086105119e+04	5.965488174442725722e-01	2.535958329816849766e-01
5.741799256408346992e+04	-4.744476234054673114e-01	2.383188637662673193e-01
5.741904987369654555e+04	6.997960444605269004e-01	2.356266607303492966e-01
5.742413049091137509e+04	5.618235392257702188e-01	2.417146106540026818e-01
5.742800451114343014e+04	6.191746371068802546e-01	2.506723616671880372e-01
5.742892523945621360e+04	-2.797712649016830255e-01	2.668182552034725208e-01
5.743011207076595747e+04	4.539846118013883824e-01	2.410266444730548852e-01
5.743097354154312779e+04	-2.115655724956013728e-01	2.389044161909530117e-01
