BJD	Res	err
5.722218249587630999e+04	1.534870620840678157e-04	7.505553499465134710e-04
5.722391687116972753e+04	-1.994454943939238944e-03	6.928203230275508046e-04
5.723295181496451551e+04	-1.761661578162154740e-03	6.928203230275508046e-04
5.723413024166393006e+04	-6.474702914500696238e-04	6.928203230275508046e-04
5.723496810407444718e+04	8.262559557561388601e-04	6.928203230275508046e-04
5.723608891514118295e+04	2.806512989144138714e-04	6.350852961085883550e-04
5.723785161063043779e+04	-3.923243162700984499e-03	7.895146188218008258e-04
5.723907750609017239e+04	6.630134814589183634e-05	6.928203230275508046e-04
5.723992076011531753e+04	8.530134733462091390e-04	6.928203230275508046e-04
5.724196113980243535e+04	-1.061493030720228603e-03	6.928203230275508046e-04
5.725198008409460454e+04	-5.054691440236069866e-04	6.928203230275508046e-04
5.725287920852556999e+04	-4.870921730866228927e-04	7.505553499465134710e-04
5.725392418441180052e+04	-2.211366252987012615e-03	7.318166133366715322e-04
5.725511323002979771e+04	-1.189522274111176614e-03	6.928203230275508046e-04
5.725588684520369861e+04	-7.592055969887212541e-04	7.505553499465134710e-04
5.725914204134904867e+04	-2.114709426503935674e-04	6.928203230275508046e-04
5.726113331115732581e+04	7.704025967640859562e-04	6.928203230275508046e-04
5.726193471214175224e+04	-1.054178641534342376e-03	6.928203230275508046e-04
5.726316294601008121e+04	-2.184408972789597669e-03	6.928203230275508046e-04
5.726397461389168893e+04	-3.550467113937472163e-04	6.928203230275508046e-04
5.726505711788827466e+04	-1.037362616910009194e-03	6.928203230275508046e-04
5.726613164115887048e+04	-9.264950827834184111e-04	6.928203230275508046e-04
5.726691520497083548e+04	-1.111973391810572309e-03	7.505553499465134710e-04
5.726786173013692314e+04	-7.691832772813711472e-04	7.895146188218008258e-04
5.726899904854912165e+04	-1.050425053739090231e-04	6.928203230275508046e-04
5.727003197692429239e+04	-1.222669555046351775e-03	6.928203230275508046e-04
5.727108115630353859e+04	-9.650920405146479197e-05	6.928203230275508046e-04
5.727293564436733868e+04	-2.802566040058351859e-03	7.505553499465134710e-04
5.727404854122327379e+04	-4.614090575945084538e-04	7.125852775477316053e-04
5.727512443259388965e+04	-1.142048158264685753e-04	6.928203230275508046e-04
5.727799895966020995e+04	3.886829814012671136e-04	6.928203230275508046e-04
5.727914781264035992e+04	-1.707518740445834737e-03	7.505553499465134710e-04
5.728009598712627485e+04	-1.458185314223925388e-03	6.928203230275508046e-04
5.728094982365499891e+04	-2.355252083134473651e-03	7.505553499465134710e-04
5.728206901844918320e+04	1.416225437161244827e-03	6.928203230275508046e-04
5.728313381301489426e+04	-8.351484711770496006e-04	6.928203230275508046e-04
5.729290288893938850e+04	-1.856112497742756773e-03	7.505553499465134710e-04
5.729399593177351926e+04	1.440807861917470234e-03	6.928203230275508046e-04
5.729486595496555674e+04	-8.853268394295454868e-04	8.082903768654760290e-04
5.730110538716134761e+04	-2.069513545319701109e-03	8.660254037844385870e-04
5.730200421928437572e+04	5.507551619921002839e-04	6.928203230275508046e-04
5.730292134819882631e+04	-1.562894685423366070e-03	7.505553499465134710e-04
5.730411825520274579e+04	-2.152417354097657665e-03	7.318166133366715322e-04
5.730694149808207294e+04	-1.090366409055576469e-04	7.505553499465134710e-04
5.730803354676790332e+04	-1.647879636993643260e-03	6.928203230275508046e-04
5.732195510678999563e+04	5.108808398297526310e-04	6.928203230275508046e-04
5.732393824093314470e+04	-1.941095271615012052e-03	6.928203230275508046e-04
5.732503690046801057e+04	-1.232787368450338761e-03	6.928203230275508046e-04
5.732602413406591950e+04	-6.614732747287632719e-04	6.928203230275508046e-04
5.732791467010226188e+04	-1.447736129730259336e-03	7.125852775477316053e-04
5.732892672839445731e+04	6.440611989138034232e-04	6.928203230275508046e-04
5.733014761128581449e+04	-1.331841591145632719e-05	6.928203230275508046e-04
5.733089984056852700e+04	-1.542023662072899981e-03	7.505553499465134710e-04
5.733196093302501686e+04	-2.074834151380322567e-03	6.928203230275508046e-04
5.733296084970870288e+04	3.495297604070302100e-04	6.928203230275508046e-04
5.733409681480474683e+04	5.220421149916276704e-04	6.928203230275508046e-04
5.733490896242979943e+04	-1.596353090806523767e-03	7.505553499465134710e-04
5.734501944719991297e+04	-6.244565138535662641e-04	6.928203230275508046e-04
5.734695019914199656e+04	-3.785668592426461032e-04	6.928203230275508046e-04
5.734791556843950821e+04	-6.518747812194192193e-04	7.125852775477316053e-04
5.734997599724294560e+04	-6.938777625720149445e-05	6.928203230275508046e-04
5.735117235232754319e+04	-1.326469985916567396e-03	7.505553499465134710e-04
5.735307491231716995e+04	2.609687923458281489e-04	6.928203230275508046e-04
5.735491036255299696e+04	-1.748468752778897795e-03	7.702813338860895051e-04
5.736092306400713278e+04	-1.802220187427039377e-03	7.505553499465134710e-04
5.736797031061255257e+04	1.084582990635851729e-04	6.928203230275508046e-04
5.737199894209040212e+04	-3.411850614964961892e-04	7.125852775477316053e-04
5.737910503113822779e+04	-1.626617732171098396e-03	7.505553499465134710e-04
5.737996942719434446e+04	7.409531358515408783e-05	7.505553499465134710e-04
5.738097406124865665e+04	-1.379425993945915252e-04	7.505553499465134710e-04
5.738614630625353311e+04	-3.857323092635311923e-04	7.505553499465134710e-04
5.738694872872376436e+04	9.148454347762680072e-05	7.505553499465134710e-04
5.738800573108796380e+04	-1.695103136650111253e-03	7.505553499465134710e-04
5.739108672644887702e+04	-1.517876771928605706e-03	7.505553499465134710e-04
5.739415124080735404e+04	-4.221698657786987496e-04	7.505553499465134710e-04
5.739493107354779204e+04	-1.434615003901740238e-03	7.702813338860895051e-04
5.739607887145155837e+04	3.819987951390046987e-04	6.928203230275508046e-04
5.739706415438615659e+04	-5.970956581329289747e-04	6.928203230275508046e-04
5.739810578269722464e+04	-1.196574934402505619e-03	7.505553499465134710e-04
5.739906009629162145e+04	-3.739400465541109497e-04	6.928203230275508046e-04
5.740593707657718187e+04	-1.767032389493827793e-03	8.082903768654760290e-04
5.740711138087360450e+04	-5.419175091079253548e-04	7.505553499465134710e-04
5.740817011640279816e+04	-3.437069717531215929e-04	7.895146188218008258e-04
5.741299663055427663e+04	-3.900911047249877583e-05	7.505553499465134710e-04
5.741416605086105119e+04	-1.192646437690569883e-03	8.082903768654760290e-04
5.741799256408346992e+04	9.813670978315869320e-04	7.505553499465134710e-04
5.741904987369654555e+04	-2.777030900211308051e-03	7.505553499465134710e-04
5.742413049091137509e+04	5.209919549535868555e-04	7.505553499465134710e-04
5.742800451114343014e+04	3.940298360314287152e-04	7.702813338860895051e-04
5.742892523945621360e+04	-1.870117854710251493e-03	8.660254037844385870e-04
5.743011207076595747e+04	2.779150554133025253e-07	7.505553499465134710e-04
5.743097354154312779e+04	-1.461230216911246771e-03	7.505553499465134710e-04
5.743316270496119978e+04	-1.347630765646812279e-05	7.505553499465134710e-04
5.743402745144344954e+04	3.868158665785159656e-04	7.505553499465134710e-04
5.743601480222826649e+04	-1.926921364306721784e-03	7.505553499465134710e-04
5.744008916997300548e+04	-5.302308647960884969e-04	7.505553499465134710e-04
5.744504099954455887e+04	9.475962921090541613e-05	7.505553499465134710e-04
5.744591617324696563e+04	-1.761094252108463820e-03	8.082903768654760290e-04
5.744800385529352934e+04	-7.717781206135754246e-04	7.505553499465134710e-04
5.744899632747523719e+04	-1.259079586696465469e-03	7.505553499465134710e-04
5.745103549944573024e+04	-1.251226162821694743e-04	8.660254037844385870e-04
5.745304763160986477e+04	-2.850592671297391689e-04	7.505553499465134710e-04
5.745398585761812137e+04	-4.788259830323937649e-04	7.505553499465134710e-04
5.745509054588233994e+04	-8.368092725987708036e-04	7.505553499465134710e-04
