BJD	Res	err
5.722218249587630999e+04	-3.331335456512647397e-01	2.421892312819752258e-01
5.722391687116972753e+04	5.777173337194625447e-01	2.289541518369341555e-01
5.723295181496451551e+04	6.405940160921375082e-02	2.280637939386934987e-01
5.723413024166393006e+04	-9.384486222066925620e-01	2.257924539646047057e-01
5.723496810407444718e+04	-2.409379091674423989e-01	2.270806832965007460e-01
5.723608891514118295e+04	4.640884734200767525e-02	2.234671470293437545e-01
5.723785161063043779e+04	-2.368109307038395173e-01	2.514907020961793527e-01
5.723907750609017239e+04	8.717246022995084331e-02	2.264963282522208521e-01
5.723992076011531753e+04	-3.654694487156007199e-02	2.342238969744510346e-01
5.724196113980243535e+04	-1.250377760055698673e-01	2.373880125867025292e-01
5.725198008409460454e+04	-6.652020587938523022e-01	2.252283299920853910e-01
5.725287920852556999e+04	1.633016357368290983e-01	2.374066149605860987e-01
5.725392418441180052e+04	4.538774753536074513e-01	2.326059197945850865e-01
5.725511323002979771e+04	-8.572305725705149371e-01	2.295644870785346070e-01
5.725588684520369861e+04	-3.108593015886924604e-01	2.429513294744727325e-01
5.725914204134904867e+04	-1.487066891011608050e-01	2.284895797801007322e-01
5.726113331115732581e+04	4.302028539859890088e-01	2.273732104045987912e-01
5.726193471214175224e+04	4.966664289479325589e-01	2.360807457293105094e-01
5.726316294601008121e+04	-4.228242670565549588e-01	2.295032800374976478e-01
5.726397461389168893e+04	-8.283682833035328485e-01	2.312927188845298188e-01
5.726505711788827466e+04	2.556085927413960235e-01	2.295254516130509348e-01
5.726613164115887048e+04	4.223542440096963446e-01	2.306875245565482013e-01
5.726691520497083548e+04	-1.551005676990513393e-01	2.449599926329510680e-01
5.726786173013692314e+04	-7.570938001399980521e-01	2.487916204842890722e-01
5.726899904854912165e+04	-9.251506026153322182e-02	2.263480940540980590e-01
5.727003197692429239e+04	5.058784268108951210e-01	2.295148366989823441e-01
5.727108115630353859e+04	-5.553822343370029557e-02	2.299805166989797589e-01
5.727293564436733868e+04	3.220438024584382219e-02	2.407809715616784640e-01
