BJD	Res	err
5.722218249587630999e+04	-4.094393378192826560e-01	1.210946156409876129e-01
5.722391687116972753e+04	-4.597017573920627598e-01	1.144770759184670639e-01
5.723295181496451551e+04	1.476620598256873862e+00	1.140318969693467771e-01
5.723413024166393006e+04	2.322879879552770532e+00	1.128962269823025472e-01
5.723496810407444718e+04	5.147256332768872511e-01	1.135403416482501787e-01
5.723608891514118295e+04	2.377553214862048847e+00	1.117335735146717801e-01
5.723785161063043779e+04	1.122345875516639779e+00	1.257453510480895653e-01
5.723907750609017239e+04	1.204032306403696850e+00	1.132481641261106065e-01
5.723992076011531753e+04	-2.549952745579524560e-01	1.171119484872257116e-01
5.724196113980243535e+04	6.733985718273025611e-01	1.186940062933511814e-01
5.725198008409460454e+04	-5.723324449408835335e-01	1.126141649960427787e-01
5.725287920852556999e+04	-7.230113161624629470e-02	1.187033074802930493e-01
5.725392418441180052e+04	3.794611993955214757e-01	1.163029598972925432e-01
5.725511323002979771e+04	-1.431376413848429507e+00	1.147822435392672064e-01
5.725588684520369861e+04	2.602964934084255333e-01	1.214756647372364634e-01
5.725914204134904867e+04	6.948598792176934325e-01	1.142447898900503661e-01
5.726113331115732581e+04	5.005433531985303830e-01	1.136866052022992984e-01
5.726193471214175224e+04	-1.512167584322890335e+00	1.180403728646552547e-01
5.726316294601008121e+04	-1.237793257635058097e+00	1.147516400187488239e-01
5.726397461389168893e+04	-1.365246712030259602e+00	1.156463594422649926e-01
5.726505711788827466e+04	-4.054330359720985655e-01	1.147627258065252870e-01
5.726613164115887048e+04	-1.486472465770592777e+00	1.153437622782741007e-01
5.726691520497083548e+04	5.900326984432915367e-01	1.224799963164756450e-01
5.726786173013692314e+04	-7.906901441886127202e-01	1.243958102421445361e-01
5.726899904854912165e+04	-5.875573919373273668e-01	1.131740470270490989e-01
5.727003197692429239e+04	-1.750647461160763640e+00	1.147574183494910888e-01
5.727108115630353859e+04	-1.090762903052674204e+00	1.149902583494899627e-01
