BJD	Res	err
5.722218249587630999e+04	-7.273796415174729191e-01	2.421892312819752258e-01
5.722391687116972753e+04	-4.675329314695773064e-01	2.289541518369341555e-01
5.723295181496451551e+04	3.375525858009496005e-01	2.280637939386934987e-01
5.723413024166393006e+04	-2.218831877285992960e+00	2.257924539646047057e-01
5.723496810407444718e+04	3.891436357862403383e-01	2.270806832965007460e-01
5.723608891514118295e+04	1.445446123716465081e-01	2.234671470293437545e-01
5.723785161063043779e+04	3.742985858389147324e-01	2.514907020961793527e-01
5.723907750609017239e+04	-1.802691888492518046e+00	2.264963282522208521e-01
5.723992076011531753e+04	-5.850658916542670340e-01	2.342238969744510346e-01
5.724196113980243535e+04	3.125493804927828023e+00	2.373880125867025292e-01
5.725198008409460454e+04	-6.842982800581012270e-01	2.252283299920853910e-01
5.725287920852556999e+04	-4.728290391540213022e-02	2.374066149605860987e-01
5.725392418441180052e+04	-1.224232969459080778e+00	2.326059197945850865e-01
5.725511323002979771e+04	-4.170728853141554282e-01	2.295644870785346070e-01
5.725588684520369861e+04	-1.239235483499214752e-01	2.429513294744727325e-01
5.725914204134904867e+04	1.997887281168914342e+00	2.284895797801007322e-01
5.726113331115732581e+04	1.876554353370011086e+00	2.273732104045987912e-01
5.726193471214175224e+04	7.624211211077636108e-02	2.360807457293105094e-01
5.726316294601008121e+04	-1.112976842002353806e+00	2.295032800374976478e-01
5.726397461389168893e+04	-6.369911651227084803e-01	2.312927188845298188e-01
5.726505711788827466e+04	4.955968646090695984e-01	2.295254516130509348e-01
5.726613164115887048e+04	-5.170825379946109024e-01	2.306875245565482013e-01
5.726691520497083548e+04	-8.263301244305694127e-01	2.449599926329510680e-01
5.726786173013692314e+04	-4.641649090035571135e-01	2.487916204842890722e-01
5.726899904854912165e+04	4.201552871381863952e-01	2.263480940540980590e-01
5.727003197692429239e+04	4.383155281811923487e-02	2.295148366989823441e-01
5.727108115630353859e+04	1.958317353328311583e-01	2.299805166989797589e-01
5.727293564436733868e+04	2.665400205423793523e-01	2.407809715616784640e-01
5.727404854122327379e+04	7.314483651134651154e-02	2.354722103192583293e-01
5.727512443259388965e+04	-2.100452809399939724e-01	2.310892825066630796e-01
5.727799895966020995e+04	1.202027810517392936e+00	2.315015794535501825e-01
5.727914781264035992e+04	7.114820321321531083e-01	2.354812002201237542e-01
5.728009598712627485e+04	6.120831168791482924e-01	2.319863478503593479e-01
5.728094982365499891e+04	-1.875911088835891860e+00	2.361324106261674383e-01
5.728206901844918320e+04	1.853708757021195197e+00	2.307277723198144503e-01
5.728313381301489426e+04	-1.113593187763399328e+00	2.328683769189144603e-01
5.729290288893938850e+04	1.349549479620691272e+00	2.469975507924217772e-01
5.729399593177351926e+04	2.703159251120268891e+00	2.351103101515944760e-01
5.729486595496555674e+04	-1.555150011945443111e-01	2.533498213208029148e-01
5.730110538716134761e+04	1.029751207029221405e+00	2.637488463312896436e-01
5.730200421928437572e+04	5.454520309922372689e-01	2.260973358962653501e-01
5.730292134819882631e+04	-9.031392619945108891e-01	2.392607257450469482e-01
5.730411825520274579e+04	2.495149571050205850e-01	2.295475294686412093e-01
5.730694149808207294e+04	-1.780431687108830374e+00	2.339386503060224276e-01
5.730803354676790332e+04	-3.667697581095126225e-01	2.258791717434268931e-01
5.732195510678999563e+04	-9.346767928318513441e-01	2.249439998478941216e-01
5.732393824093314470e+04	-2.173462505158568092e+00	2.275780016290738228e-01
5.732503690046801057e+04	1.463081060983313364e-01	2.224498441926131276e-01
5.732602413406591950e+04	6.950803576764883474e-01	2.214012169297621957e-01
5.732791467010226188e+04	-1.496208250929157657e+00	2.351460179737770995e-01
5.732892672839445731e+04	-1.316426466700249875e+00	2.313637660167795207e-01
5.733014761128581449e+04	-1.287145601099837222e-01	2.304470035346635193e-01
5.733089984056852700e+04	7.056342186369874980e-01	2.377443285704150810e-01
5.733196093302501686e+04	9.811157055719377240e-01	2.246496625875575859e-01
5.733296084970870288e+04	3.316631714615141391e-01	2.245153996598886204e-01
5.733409681480474683e+04	-1.053954045650243643e+00	2.239665585356479804e-01
5.733490896242979943e+04	-2.624432475268804410e+00	2.387090192975763747e-01
5.734501944719991297e+04	-4.373021594956298941e-01	2.258203858451659218e-01
5.734695019914199656e+04	8.007160719007515581e-01	2.303784391636905238e-01
5.734791556843950821e+04	2.985081468441421748e-01	2.374988231331209010e-01
5.734997599724294560e+04	-4.506421518426577677e-01	2.261986603095026693e-01
5.735117235232754319e+04	-9.783688790448650252e-01	2.454104918988947448e-01
5.735307491231716995e+04	-9.362009195992868626e-01	2.323631497716628080e-01
5.735491036255299696e+04	-1.265348901817560545e+00	2.472497679538085968e-01
5.736092306400713278e+04	-1.033052533413865604e+00	2.445731862318039906e-01
5.736797031061255257e+04	1.298287032061125501e+00	2.352513788559769115e-01
5.737199894209040212e+04	-4.902821113382742624e-01	2.390086516806708694e-01
5.737910503113822779e+04	1.403241810329745931e+00	2.399396273364346743e-01
5.737996942719434446e+04	7.196636907356150914e-01	2.419427497075271605e-01
5.738097406124865665e+04	1.665798044687107904e-01	2.411191511461805714e-01
5.738614630625353311e+04	2.454263477879067068e+00	2.451819466539804093e-01
5.738694872872376436e+04	6.038805639655038249e-01	2.441281073255151535e-01
5.738800573108796380e+04	-2.567184644698500051e+00	2.361965167651444986e-01
5.739108672644887702e+04	9.331668462264133268e-01	2.375992519843309336e-01
5.739415124080735404e+04	1.832402183845260879e-02	2.447852457803787185e-01
5.739493107354779204e+04	-1.810793090244260384e-01	2.492114736950870324e-01
5.739607887145155837e+04	1.891551520266148145e-01	2.373060913451529308e-01
5.739706415438615659e+04	4.161855257916613482e-02	2.365020711451294444e-01
5.739810578269722464e+04	1.020925877258378023e+00	2.375795862548002180e-01
5.739906009629162145e+04	-7.399279076953462209e-01	2.352909745982257050e-01
5.740593707657718187e+04	-4.122086247143670334e-01	2.509414295616715918e-01
5.740711138087360450e+04	1.184594877466224716e+00	2.385729941503596796e-01
5.740817011640279816e+04	4.571534319638885790e-01	2.471393444536068851e-01
5.741299663055427663e+04	4.005392027502239216e-01	2.391164679402948412e-01
5.741416605086105119e+04	6.973216549777134787e-01	2.535958329816849766e-01
5.741799256408346992e+04	-4.279261504234455060e-01	2.383188637662673193e-01
5.741904987369654555e+04	7.937456251283947495e-01	2.356266607303492966e-01
5.742413049091137509e+04	3.163172089134604903e-01	2.417146106540026818e-01
5.742800451114343014e+04	2.334898116932890844e-01	2.506723616671880372e-01
5.742892523945621360e+04	-5.945030417569796555e-01	2.668182552034725208e-01
5.743011207076595747e+04	2.944082304829862551e-01	2.410266444730548852e-01
5.743097354154312779e+04	-2.316679030482191592e-01	2.389044161909530117e-01
5.743316270496119978e+04	-7.548814141773618758e-01	2.424544391966680090e-01
5.743402745144344954e+04	1.943570139542316610e+00	2.355854873277835881e-01
5.743601480222826649e+04	-1.251684279997789417e+00	2.362253500387364313e-01
5.744008916997300548e+04	1.701869111944688484e+00	2.366132092062318282e-01
5.744504099954455887e+04	2.043464069402034511e-01	2.359449794877651607e-01
5.744591617324696563e+04	-1.763163677658667439e+00	2.525412135604475639e-01
5.744800385529352934e+04	1.062127017617967795e+00	2.371896712745484581e-01
5.744899632747523719e+04	2.457181500258229789e-01	2.346286564973142641e-01
5.745103549944573024e+04	2.218645515631578746e-01	2.660813505116296773e-01
5.745304763160986477e+04	4.060388327616237802e-01	2.403705417423406265e-01
5.745398585761812137e+04	7.044937556729564676e-01	2.396556617177242055e-01
5.745509054588233994e+04	-5.041348238246428082e-01	2.393992223240448691e-01
5.745592368632012949e+04	-4.506041588583684643e-01	2.508923456228182025e-01
5.745699621605428547e+04	4.680628203850574209e-01	2.379801030680451512e-01
5.745802519235028740e+04	1.058150534237938700e+00	2.394007023504059750e-01
5.745902206285212742e+04	-1.433499860677329707e-01	2.366904671971001572e-01
5.746200396878796892e+04	1.481591321789892390e+00	2.383458187225941660e-01
5.746320205369657924e+04	-1.460185074515720771e+00	2.520432532792560854e-01
5.746493027957682352e+04	5.303311136876800447e-01	2.576568423600449909e-01
5.746995706212560617e+04	5.740310073033469962e-01	2.485085172025278955e-01
5.747395297524705529e+04	1.835083239316190884e+00	2.489486268176348271e-01
5.747488267371329130e+04	7.843708099626383046e-01	2.629057906610227091e-01
5.747611970442417805e+04	-2.183692111427262716e+00	2.443286219045801566e-01
5.747689647744099057e+04	8.518639915100720827e-01	2.596588226240078567e-01
5.748217096708052122e+04	-1.455645745323636220e+00	2.435059587502655942e-01
5.748505026291837567e+04	1.146059336354483094e+00	2.349671273271068117e-01
5.748612088859878713e+04	-1.904619997916597640e+00	2.374869973626070607e-01
5.748705030144679040e+04	-8.061809906103007961e-01	2.354821994216803882e-01
5.748807654627154261e+04	-8.510585385911326739e-01	2.348470212302079529e-01
5.748902045974098291e+04	1.411854920630503329e+00	2.367207260115280210e-01
5.748987418026379601e+04	2.216143221294260002e-01	2.552629306380252427e-01
5.749110286336443096e+04	-5.491682495330678648e-01	2.365046095993764419e-01
5.749812560411560116e+04	-2.286595925891560910e+00	2.378167768505159430e-01
5.750202758616731444e+04	4.276107210789632518e-01	2.369103739161373678e-01
5.750292689647042425e+04	-1.010851626624571509e+00	2.469852103620539252e-01
5.750718162785549066e+04	-6.042962863275533891e-01	2.461770608489913525e-01
5.750802047395486443e+04	1.558817805635044351e+00	2.378548041386572276e-01
5.750902094199061685e+04	1.208255287126121402e+00	2.379982446121057527e-01
5.751010377570117271e+04	-8.007954115364555037e-01	2.366657382324200698e-01
5.751194102935169940e+04	2.696463359143308480e-01	2.450900093771980204e-01
5.751285670481258421e+04	-1.189013070757027890e+00	2.612476630733355232e-01
5.752212781735960743e+04	-4.105566763973911293e-01	2.480819358582980749e-01
5.752306670361200668e+04	2.039108817851229105e+00	2.436267252438722997e-01
5.752586391983911017e+04	-2.209785735208242841e+00	2.617474171190657395e-01
5.752706403318127559e+04	7.654079657158945338e-01	2.465736906542313200e-01
5.752806301495146181e+04	7.330178574093224597e-01	2.455862973314979492e-01
5.752891144702566089e+04	5.233972679598082323e-01	2.543763726723117236e-01
5.753207976665233582e+04	1.058553094032504305e+00	2.455793983807173231e-01
5.753284654377615516e+04	-1.665735144830250647e+00	2.673315912126678628e-01
5.753391784759531583e+04	-1.153812207165174186e+00	2.553039435513838051e-01
5.753488145590903150e+04	-4.332248944529055734e-01	2.579723121795624574e-01
5.753602114932166296e+04	2.398251339205671684e+00	2.467451272367260084e-01
5.753714581971090229e+04	2.077670312801274122e-01	2.496646238748206903e-01
5.754407358966911852e+04	5.694822710938751698e-01	2.472563412321638621e-01
