BJD	Res	err
5.722218249587630999e+04	4.229154365188634301e-01	1.210946156409876129e-01
5.722391687116972753e+04	9.840398631319402512e-01	1.144770759184670639e-01
5.723295181496451551e+04	1.345003936798647715e-01	1.140318969693467771e-01
5.723413024166393006e+04	1.161542890324128052e+00	1.128962269823025472e-01
5.723496810407444718e+04	-4.481380549743239072e-01	1.135403416482501787e-01
5.723608891514118295e+04	1.714772160468932327e+00	1.117335735146717801e-01
5.723785161063043779e+04	8.164215508012180322e-01	1.257453510480895653e-01
5.723907750609017239e+04	9.132947550561993921e-01	1.132481641261106065e-01
5.723992076011531753e+04	-6.621649137224157045e-01	1.171119484872257116e-01
5.724196113980243535e+04	-1.411331689825541247e-01	1.186940062933511814e-01
5.725198008409460454e+04	6.202216802090596559e-01	1.126141649960427787e-01
5.725287920852556999e+04	7.883135647595906903e-01	1.187033074802930493e-01
5.725392418441180052e+04	6.232479535489581224e-01	1.163029598972925432e-01
5.725511323002979771e+04	-1.939858030579923565e+00	1.147822435392672064e-01
5.725588684520369861e+04	-6.098327585517537841e-01	1.214756647372364634e-01
5.725914204134904867e+04	1.544061277331785220e-01	1.142447898900503661e-01
5.726113331115732581e+04	6.292876470830215396e-01	1.136866052022992984e-01
5.726193471214175224e+04	-1.225287948099545332e+00	1.180403728646552547e-01
5.726316294601008121e+04	-7.984859495000584673e-01	1.147516400187488239e-01
5.726397461389168893e+04	-8.456505226432895483e-01	1.156463594422649926e-01
5.726505711788827466e+04	2.120513048881669249e-01	1.147627258065252870e-01
5.726613164115887048e+04	-8.082492785065582552e-01	1.153437622782741007e-01
5.726691520497083548e+04	1.277775967354937592e+00	1.224799963164756450e-01
5.726786173013692314e+04	-1.146156008293672812e-01	1.243958102421445361e-01
5.726899904854912165e+04	8.971947743211217130e-02	1.131740470270490989e-01
5.727003197692429239e+04	-1.034981124897232263e+00	1.147574183494910888e-01
5.727108115630353859e+04	-3.307795438791245601e-01	1.149902583494899627e-01
5.727293564436733868e+04	-1.322809220629078908e+00	1.203904857808393153e-01
5.727404854122327379e+04	-6.289438437152448103e-01	1.177361051596291786e-01
5.727512443259388965e+04	-7.007679033759544041e-01	1.155446412533316369e-01
5.727799895966020995e+04	-9.009112784478290337e-01	1.157507897267749941e-01
5.727914781264035992e+04	-5.551786464070644911e-01	1.177406001100617799e-01
5.728009598712627485e+04	-6.199233754765423043e-01	1.159931739251796740e-01
5.728094982365499891e+04	6.778872671997611121e-01	1.180662053130835387e-01
5.728206901844918320e+04	1.055943662993012566e+00	1.153638861599073362e-01
5.728313381301489426e+04	7.211632686908586720e-01	1.164341884594571191e-01
5.729290288893938850e+04	1.190572491567642999e-01	1.234987753962108886e-01
5.729399593177351926e+04	-7.204614338716357480e-01	1.175551550757973351e-01
5.729486595496555674e+04	-4.621706069168727282e-01	1.266749106604015407e-01
5.730110538716134761e+04	-1.397022911217764118e+00	1.318744231656448218e-01
5.730200421928437572e+04	-2.565101550428039445e-01	1.130486679481327722e-01
5.730292134819882631e+04	-3.056597767038837787e-02	1.196303628725233631e-01
5.730411825520274579e+04	-1.239484159949157061e+00	1.147737647343207018e-01
5.730694149808207294e+04	4.863202594933824230e-01	1.169693251530112138e-01
5.730803354676790332e+04	8.159685704804076067e-03	1.129395858717136547e-01
5.732195510678999563e+04	5.273950258039583616e-01	1.124719999239470608e-01
5.732393824093314470e+04	1.801591479420924458e+00	1.137890008145371196e-01
5.732503690046801057e+04	-6.840382053969911169e-01	1.112249220963068413e-01
5.732602413406591950e+04	-1.312470861514505316e+00	1.107006084648808203e-01
5.732791467010226188e+04	5.798258672550709036e-01	1.175730089868885359e-01
5.732892672839445731e+04	2.143799813234556595e+00	1.156818830083898714e-01
5.733014761128581449e+04	5.761107968479244335e-01	1.152235017673318707e-01
