BJD	Res	err
5.722218249587630999e+04	-7.724917688811672178e-05	7.505553499465134710e-04
5.722391687116972753e+04	-2.540575741037720547e-03	6.928203230275508046e-04
5.723295181496451551e+04	-2.067225719379450766e-03	6.928203230275508046e-04
5.723413024166393006e+04	-9.327496024349457571e-04	6.928203230275508046e-04
5.723496810407444718e+04	5.089282457841903806e-04	6.928203230275508046e-04
5.723608891514118295e+04	-1.099852794190780969e-04	6.350852961085883550e-04
5.723785161063043779e+04	-4.354743562180907190e-03	7.895146188218008258e-04
5.723907750609017239e+04	-2.671081520295714995e-04	6.928203230275508046e-04
5.723992076011531753e+04	6.325244794211926092e-04	6.928203230275508046e-04
5.724196113980243535e+04	-1.046996173531766772e-03	6.928203230275508046e-04
5.725198008409460454e+04	-8.808474597028492781e-04	6.928203230275508046e-04
5.725287920852556999e+04	-7.813727052683461238e-04	7.505553499465134710e-04
5.725392418441180052e+04	-2.364516479381073566e-03	7.318166133366715322e-04
5.725511323002979771e+04	-1.172554696671213037e-03	6.928203230275508046e-04
5.725588684520369861e+04	-6.570969396593184797e-04	7.505553499465134710e-04
5.725914204134904867e+04	-4.319441248412658751e-05	6.928203230275508046e-04
5.726113331115732581e+04	9.791479886782639142e-04	6.928203230275508046e-04
5.726193471214175224e+04	-8.150848877654937041e-04	6.928203230275508046e-04
5.726316294601008121e+04	-1.919505613565242186e-03	6.928203230275508046e-04
5.726397461389168893e+04	-9.806773636711341169e-05	6.928203230275508046e-04
5.726505711788827466e+04	-8.156657628095587143e-04	6.928203230275508046e-04
5.726613164115887048e+04	-7.410883042302529589e-04	6.928203230275508046e-04
5.726691520497083548e+04	-9.359483114073086085e-04	7.505553499465134710e-04
5.726786173013692314e+04	-5.755696049343228538e-04	7.895146188218008258e-04
5.726899904854912165e+04	1.446637615813983757e-04	6.928203230275508046e-04
5.727003197692429239e+04	-9.106171264150475508e-04	6.928203230275508046e-04
5.727108115630353859e+04	2.680623785460412023e-04	6.928203230275508046e-04
5.727293564436733868e+04	-2.393393096083329397e-03	7.505553499465134710e-04
5.727404854122327379e+04	-5.028687488728422750e-05	7.125852775477316053e-04
5.727512443259388965e+04	2.760795678362626404e-04	6.928203230275508046e-04
5.727799895966020995e+04	5.006222939005766648e-04	6.928203230275508046e-04
5.727914781264035992e+04	-1.779271591879627579e-03	7.505553499465134710e-04
5.728009598712627485e+04	-1.661042938287948800e-03	6.928203230275508046e-04
5.728094982365499891e+04	-2.632566815121251125e-03	7.505553499465134710e-04
5.728206901844918320e+04	1.119871071012745745e-03	6.928203230275508046e-04
5.728313381301489426e+04	-1.083178674717188983e-03	6.928203230275508046e-04
5.729290288893938850e+04	-1.765299113124285668e-03	7.505553499465134710e-04
5.729399593177351926e+04	1.654612721451620416e-03	6.928203230275508046e-04
5.729486595496555674e+04	-6.063888000760186969e-04	8.082903768654760290e-04
5.730110538716134761e+04	-2.034345585982144655e-03	8.660254037844385870e-04
5.730200421928437572e+04	5.507061372345134487e-04	6.928203230275508046e-04
5.730292134819882631e+04	-1.587336172743647467e-03	7.505553499465134710e-04
5.730411825520274579e+04	-2.189654407715124762e-03	7.318166133366715322e-04
5.730694149808207294e+04	-8.908732797507923351e-05	7.505553499465134710e-04
5.730803354676790332e+04	-1.581778770336050854e-03	6.928203230275508046e-04
5.732195510678999563e+04	6.782376570590997744e-04	6.928203230275508046e-04
5.732393824093314470e+04	-1.637034190152597546e-03	6.928203230275508046e-04
5.732503690046801057e+04	-9.758278140576948090e-04	6.928203230275508046e-04
5.732602413406591950e+04	-5.385690283992161653e-04	6.928203230275508046e-04
5.732791467010226188e+04	-1.696595206276185763e-03	7.125852775477316053e-04
5.732892672839445731e+04	2.519997354513137111e-04	6.928203230275508046e-04
5.733014761128581449e+04	-4.363471583328504266e-04	6.928203230275508046e-04
5.733089984056852700e+04	-1.905772150659679198e-03	7.505553499465134710e-04
5.733196093302501686e+04	-2.292071139000206870e-03	6.928203230275508046e-04
5.733296084970870288e+04	2.807741230999027948e-04	6.928203230275508046e-04
5.733409681480474683e+04	5.722894045341320179e-04	6.928203230275508046e-04
5.733490896242979943e+04	-1.507635197051548914e-03	7.505553499465134710e-04
5.734501944719991297e+04	-1.000151416680417071e-03	6.928203230275508046e-04
5.734695019914199656e+04	-5.565072425577355375e-04	6.928203230275508046e-04
5.734791556843950821e+04	-6.859200991113922896e-04	7.125852775477316053e-04
5.734997599724294560e+04	7.626726490883584120e-05	6.928203230275508046e-04
5.735117235232754319e+04	-1.237667164323497104e-03	7.505553499465134710e-04
5.735307491231716995e+04	4.089683407215716215e-05	6.928203230275508046e-04
5.735491036255299696e+04	-2.293682217819004165e-03	7.702813338860895051e-04
5.736092306400713278e+04	-1.739895214823761194e-03	7.505553499465134710e-04
5.736797031061255257e+04	2.066716302273619021e-04	6.928203230275508046e-04
5.737199894209040212e+04	-5.268551343799998676e-04	7.125852775477316053e-04
5.737910503113822779e+04	-1.295070892507688143e-03	7.505553499465134710e-04
5.737996942719434446e+04	3.224260468943640490e-04	7.505553499465134710e-04
5.738097406124865665e+04	-1.690219216854416118e-05	7.505553499465134710e-04
5.738614630625353311e+04	-3.543273539357016944e-04	7.505553499465134710e-04
5.738694872872376436e+04	2.062007044534297506e-04	7.505553499465134710e-04
5.738800573108796380e+04	-1.484512853036967783e-03	7.505553499465134710e-04
5.739108672644887702e+04	-1.286590199805814905e-03	7.505553499465134710e-04
5.739415124080735404e+04	-3.515076984106357827e-04	7.505553499465134710e-04
5.739493107354779204e+04	-1.386164901314934639e-03	7.702813338860895051e-04
5.739607887145155837e+04	4.030563704491285648e-04	6.928203230275508046e-04
5.739706415438615659e+04	-6.078591668829957939e-04	6.928203230275508046e-04
5.739810578269722464e+04	-1.256766911863493874e-03	7.505553499465134710e-04
5.739906009629162145e+04	-4.889365429585623701e-04	6.928203230275508046e-04
5.740593707657718187e+04	-1.552018026427681718e-03	8.082903768654760290e-04
5.740711138087360450e+04	-2.490218174076019864e-04	7.505553499465134710e-04
5.740817011640279816e+04	-5.343748471631215580e-05	7.895146188218008258e-04
5.741299663055427663e+04	-5.548361994289763288e-05	7.505553499465134710e-04
5.741416605086105119e+04	-1.186946705589164708e-03	8.082903768654760290e-04
5.741799256408346992e+04	9.941619872435580874e-04	7.505553499465134710e-04
5.741904987369654555e+04	-2.839498917779792464e-03	7.505553499465134710e-04
5.742413049091137509e+04	5.231885414689330105e-04	7.505553499465134710e-04
5.742800451114343014e+04	3.170744438119044162e-04	7.702813338860895051e-04
5.742892523945621360e+04	-1.984312132090160219e-03	8.660254037844385870e-04
5.743011207076595747e+04	-9.894876487770432050e-05	7.505553499465134710e-04
5.743097354154312779e+04	-1.503676539528875367e-03	7.505553499465134710e-04
5.743316270496119978e+04	1.268898666983986345e-04	7.505553499465134710e-04
5.743402745144344954e+04	5.558098765510166572e-04	7.505553499465134710e-04
5.743601480222826649e+04	-1.820579077482342711e-03	7.505553499465134710e-04
5.744008916997300548e+04	-4.941211001021628135e-04	7.505553499465134710e-04
5.744504099954455887e+04	2.144672897808064249e-04	7.505553499465134710e-04
