BJD	Res	err
5.722218249587630999e+04	8.448526584732007905e-01	1.210946156409876129e-01
5.722391687116972753e+04	1.546008037147945657e+00	1.144770759184670639e-01
5.723295181496451551e+04	5.639123187413090932e-01	1.140318969693467771e-01
5.723413024166393006e+04	1.549427357666987248e+00	1.128962269823025472e-01
5.723496810407444718e+04	-1.177728258101709002e-01	1.135403416482501787e-01
5.723608891514118295e+04	1.964568632307342355e+00	1.117335735146717801e-01
5.723785161063043779e+04	1.037633549861149973e+00	1.257453510480895653e-01
5.723907750609017239e+04	1.223919581990839944e+00	1.132481641261106065e-01
5.723992076011531753e+04	-2.569664164006919549e-01	1.171119484872257116e-01
5.724196113980243535e+04	4.182205544521373497e-01	1.186940062933511814e-01
5.725198008409460454e+04	9.263137135261914068e-01	1.126141649960427787e-01
5.725287920852556999e+04	1.181536359773051714e+00	1.187033074802930493e-01
5.725392418441180052e+04	1.053225169334528033e+00	1.163029598972925432e-01
5.725511323002979771e+04	-1.541983780142583527e+00	1.147822435392672064e-01
5.725588684520369861e+04	-2.620877456471006894e-01	1.214756647372364634e-01
5.725914204134904867e+04	2.017440249842294975e-01	1.142447898900503661e-01
5.726113331115732581e+04	4.940804235214333318e-01	1.136866052022992984e-01
5.726193471214175224e+04	-1.425885946370410551e+00	1.180403728646552547e-01
5.726316294601008121e+04	-1.090233029709839485e+00	1.147516400187488239e-01
5.726397461389168893e+04	-1.192982087145505687e+00	1.156463594422649926e-01
5.726505711788827466e+04	-2.031873046651888615e-01	1.147627258065252870e-01
5.726613164115887048e+04	-1.276752079112149829e+00	1.153437622782741007e-01
5.726691520497083548e+04	7.870607715871713594e-01	1.224799963164756450e-01
5.726786173013692314e+04	-6.055550694100944042e-01	1.243958102421445361e-01
5.726899904854912165e+04	-3.608632467752208584e-01	1.131740470270490989e-01
5.727003197692429239e+04	-1.422387642288438059e+00	1.147574183494910888e-01
5.727108115630353859e+04	-6.494046264191766227e-01	1.149902583494899627e-01
5.727293564436733868e+04	-1.544464086000633785e+00	1.203904857808393153e-01
5.727404854122327379e+04	-7.857713442226632594e-01	1.177361051596291786e-01
5.727512443259388965e+04	-7.551396952059867829e-01	1.155446412533316369e-01
5.727799895966020995e+04	-5.082909463967304475e-01	1.157507897267749941e-01
5.727914781264035992e+04	-5.796655609324119496e-02	1.177406001100617799e-01
5.728009598712627485e+04	-1.373201111554216425e-01	1.159931739251796740e-01
5.728094982365499891e+04	1.063072274530913575e+00	1.180662053130835387e-01
5.728206901844918320e+04	1.220324924421177570e+00	1.153638861599073362e-01
5.728313381301489426e+04	6.329669725726745355e-01	1.164341884594571191e-01
5.729290288893938850e+04	-2.437281861220697010e-02	1.234987753962108886e-01
5.729399593177351926e+04	-8.383980966985316030e-01	1.175551550757973351e-01
5.729486595496555674e+04	-5.722635882443789512e-01	1.266749106604015407e-01
5.730110538716134761e+04	-7.490986403867196941e-01	1.318744231656448218e-01
5.730200421928437572e+04	4.990630418096273502e-01	1.130486679481327722e-01
5.730292134819882631e+04	7.589195717633892002e-01	1.196303628725233631e-01
5.730411825520274579e+04	-5.470235508656280388e-01	1.147737647343207018e-01
5.730694149808207294e+04	4.478155866515720618e-01	1.169693251530112138e-01
5.730803354676790332e+04	-3.487943660371684018e-01	1.129395858717136547e-01
5.732195510678999563e+04	-1.877853747799100859e-01	1.124719999239470608e-01
5.732393824093314470e+04	7.351855544207133164e-01	1.137890008145371196e-01
5.732503690046801057e+04	-1.644899089358112576e+00	1.112249220963068413e-01
5.732602413406591950e+04	-1.978422333531156596e+00	1.107006084648808203e-01
5.732791467010226188e+04	7.607735296603372888e-01	1.175730089868885359e-01
5.732892672839445731e+04	2.711844828316758438e+00	1.156818830083898714e-01
5.733014761128581449e+04	1.331465665933279752e+00	1.152235017673318707e-01
5.733089984056852700e+04	7.399997089121299609e-01	1.188721642852076377e-01
5.733196093302501686e+04	-2.723296713145550996e-01	1.123248312937786958e-01
5.733296084970870288e+04	-5.340427415544013456e-01	1.122576998299443934e-01
5.733409681480474683e+04	5.685068632710610359e-01	1.119832792678239070e-01
5.733490896242979943e+04	-4.842852690499199753e-02	1.193545096487881874e-01
5.734501944719991297e+04	1.474737633771340484e+00	1.129101929225829609e-01
5.734695019914199656e+04	1.065912696223728418e+00	1.151892195818450676e-01
5.734791556843950821e+04	-4.981190596307616403e-01	1.187494115665605338e-01
5.734997599724294560e+04	-4.977980654905991287e-01	1.130993301547511404e-01
5.735117235232754319e+04	-6.571376995441085000e-01	1.227052459494473724e-01
5.735307491231716995e+04	3.704208003315301312e-01	1.161815748858312930e-01
5.735491036255299696e+04	3.001967007990318237e+00	1.236248839769044094e-01
5.736092306400713278e+04	-2.785550185493974595e-01	1.222865931159018982e-01
5.736797031061255257e+04	-6.324940358257222783e-01	1.176256894279884557e-01
5.737199894209040212e+04	1.409775385006657444e+00	1.195043258403353376e-01
5.737910503113822779e+04	-2.398651086633151408e+00	1.199698136682173510e-01
5.737996942719434446e+04	-2.518877717938252658e-01	1.209713748537634831e-01
5.738097406124865665e+04	-6.849691983800383355e-01	1.205595755730903829e-01
5.738614630625353311e+04	-4.042904845012103010e-01	1.225909733269903018e-01
5.738694872872376436e+04	-2.952197938933096566e-01	1.220640536627576739e-01
5.738800573108796380e+04	-9.744697082886197848e-01	1.180982583825722493e-01
5.739108672644887702e+04	-1.618761453453405608e+00	1.187996259921652586e-01
5.739415124080735404e+04	-2.057145125272974440e-01	1.223926228901894425e-01
5.739493107354779204e+04	7.463691454745990939e-01	1.246057368475433219e-01
5.739607887145155837e+04	-1.036676458101975840e+00	1.186530456725765625e-01
5.739706415438615659e+04	-5.137896478037902170e-01	1.182510355725649026e-01
5.739810578269722464e+04	1.163799032424027047e+00	1.187897931274002894e-01
5.739906009629162145e+04	6.638147305773394180e-01	1.176454872991128525e-01
5.740593707657718187e+04	-1.054373465781150543e+00	1.254707147808357959e-01
5.740711138087360450e+04	-2.193254924034302888e+00	1.192864970751797565e-01
5.740817011640279816e+04	-2.120565616209518112e+00	1.235696722268031650e-01
5.741299663055427663e+04	2.541094921777052207e+00	1.195582339701473512e-01
5.741416605086105119e+04	-1.944456888546294948e+00	1.267979164908424050e-01
5.741799256408346992e+04	-5.062203745569249236e-02	1.191594318831334515e-01
5.741904987369654555e+04	5.985034857950246590e-01	1.178133303651747316e-01
5.742413049091137509e+04	8.733472714554508798e-01	1.208573053270014519e-01
5.742800451114343014e+04	7.794126652159150126e-02	1.253361808335938521e-01
5.742892523945621360e+04	1.621656559629252925e+00	1.334091276017361494e-01
5.743011207076595747e+04	1.742434761248640385e+00	1.205133222365275397e-01
5.743097354154312779e+04	3.827533383298238334e-01	1.194522080954765891e-01
5.743316270496119978e+04	-1.466032789788350499e+00	1.212272195983339212e-01
5.743402745144344954e+04	-3.333741021232192736e+00	1.177927436638914888e-01
5.743601480222826649e+04	-5.937711580583453497e-01	1.181126750193681185e-01
5.744008916997300548e+04	-4.009533284907043083e-01	1.183066046031159141e-01
5.744504099954455887e+04	-1.132753793062665437e+00	1.179724897438827885e-01
5.744591617324696563e+04	-2.963936707265830250e+00	1.262706067802238652e-01
5.744800385529352934e+04	-1.552456983606326446e+00	1.185948356372740348e-01
5.744899632747523719e+04	3.589594137263567575e-01	1.173143282486571320e-01
5.745103549944573024e+04	-4.323000363922524514e-01	1.330406752558150052e-01
5.745304763160986477e+04	1.370886315455241089e+00	1.201852708711702161e-01
5.745398585761812137e+04	-2.140094469799578292e-01	1.198278308588619084e-01
5.745509054588233994e+04	2.391681295285735587e+00	1.196996111620224346e-01
5.745592368632012949e+04	8.489504945793164836e-01	1.254461728114091013e-01
5.745699621605428547e+04	-3.120844702494210310e+00	1.189900515340225756e-01
5.745802519235028740e+04	-1.414950536710168905e+00	1.197003511752030014e-01
5.745902206285212742e+04	-1.435972125982260650e+00	1.183452335985499815e-01
5.746200396878796892e+04	-1.486932821037324715e+00	1.191729093612970830e-01
5.746320205369657924e+04	-1.053039433496394395e-02	1.260216266396280427e-01
5.746493027957682352e+04	-7.762576665373615015e-01	1.288284211800225787e-01
5.746995706212560617e+04	-1.115981916189451084e+00	1.242542586012637534e-01
5.747395297524705529e+04	-1.140419146757896129e+00	1.244743134088174968e-01
5.747488267371329130e+04	-2.376355472543991709e+00	1.314528953305115211e-01
5.747611970442417805e+04	-1.465223351424029374e+00	1.221643109522900922e-01
5.747689647744099057e+04	-8.034058327165105595e-01	1.298294113120040116e-01
5.748217096708052122e+04	3.923616940416536636e-01	1.217529793751327971e-01
5.748505026291837567e+04	-2.522581799022589166e+00	1.174835636635536140e-01
5.748612088859878713e+04	-2.022918936467377193e-01	1.187434986813035304e-01
5.748705030144679040e+04	9.310923842969778264e-01	1.177410997108401108e-01
5.748807654627154261e+04	2.287274743756597672e-01	1.174235106151042540e-01
5.748902045974098291e+04	1.617273210422357721e+00	1.183603630057640937e-01
5.748987418026379601e+04	5.214939852648292629e-01	1.276314653190126214e-01
5.749110286336443096e+04	3.306851301174708269e+00	1.182523047996884152e-01
5.749812560411560116e+04	4.304230400040118809e-01	1.189083884252577911e-01
5.750202758616731444e+04	3.983650460283563177e-01	1.184551869580687811e-01
5.750292689647042425e+04	1.095776558320338268e+00	1.234926051810267683e-01
5.750718162785549066e+04	-1.728187237462428527e-01	1.230885304244956763e-01
5.750802047395486443e+04	-3.733257624635619720e-01	1.189274020693285167e-01
5.750902094199061685e+04	-1.029965009550029009e+00	1.189991223060525849e-01
5.751010377570117271e+04	9.937062028871963548e-01	1.183328691162102292e-01
5.751194102935169940e+04	2.469059555366740710e+00	1.225450046885993016e-01
5.751285670481258421e+04	-8.959933599956535488e-01	1.306238315366677338e-01
5.752212781735960743e+04	6.292939044352898748e-01	1.240409679291490375e-01
5.752306670361200668e+04	1.524147564717850400e-01	1.218133626219361498e-01
5.752586391983911017e+04	3.839614302267513324e-01	1.308737085595329808e-01
5.752706403318127559e+04	1.401464563720740131e+00	1.232868453271156600e-01
5.752806301495146181e+04	1.277214633589768056e+00	1.227931486657489885e-01
5.752891144702566089e+04	9.501953021951088374e-01	1.271881863361558618e-01
5.753207976665233582e+04	1.162369749966050136e+00	1.227896991903588558e-01
5.753284654377615516e+04	1.278465088381626202e+00	1.336657956063339314e-01
5.753391784759531583e+04	-4.833517494931420799e-01	1.276519717756919026e-01
5.753488145590903150e+04	-9.393547613797821327e-01	1.289861560897813397e-01
5.753602114932166296e+04	-1.049973018295375482e+00	1.233725636183631152e-01
5.753714581971090229e+04	-1.017155149047574980e-01	1.248323119374103451e-01
5.754407358966911852e+04	1.146358531515510037e-01	1.236281706160819310e-01
5.754487218439547723e+04	-2.802793202318127896e-01	1.317852229688057653e-01
5.754595904663584224e+04	4.874225403569880655e-01	1.264639687044390726e-01
5.754701727574120741e+04	5.550158754788476756e-01	1.264178747013842141e-01
5.754822849380992557e+04	-5.464460983651164838e-01	1.325966589653077010e-01
5.754909622867717553e+04	-1.539418577477920991e+00	1.242116094159026879e-01
5.754994140885226807e+04	-1.785554600984085027e+00	1.276940860669382172e-01
5.755104363625435508e+04	-3.688944809918517365e-01	1.248960281995363103e-01
5.755202815382521658e+04	-7.130635221628516263e-01	1.258141392676745962e-01
5.755299955529756699e+04	1.049830098697071890e+00	1.256711004410903665e-01
5.755400356239650137e+04	2.404444327593317610e+00	1.251342083697788987e-01
5.755491395682939765e+04	5.357863792956543136e-01	1.290598256164347812e-01
5.755587727620040823e+04	1.052599778919290685e+00	1.319756983145034812e-01
5.755706548580297385e+04	1.412220507256719770e+00	1.248429161035064516e-01
5.755802393437797582e+04	-9.133137457358486699e-02	1.250065577795732297e-01
5.755991654791399924e+04	-7.317780575106276331e-01	1.308561605858809818e-01
5.756091147412321152e+04	5.656912716786877127e-01	1.395453483800445094e-01
5.756211001873706846e+04	4.689405304767255700e-01	1.332334616032961327e-01
5.756715466868032672e+04	-1.701247743569673787e-01	1.274336618153669443e-01
5.756812919920565037e+04	3.203654296062410367e-01	1.263847822960053879e-01
5.756925132112118445e+04	-9.929956977837441912e-01	1.379238839849977194e-01
5.757114246390038170e+04	1.812029960448466426e+00	1.274246824904327613e-01
