BJD	RV	RVerr	RHK	RHKerr	S	Serr	BIS	BISerr	FWHM	FWHMerr	Constrast	Contrasterr
5.722218625124658138e+04	-1.633300000000000196e+01	1.215066927799010738e-01	-4.972599999999999909e+00	7.505553499465134710e-04	1.642656666666666432e-01	1.283653639681151090e-04	-8.778742070053301916e+01	2.430133855598023140e-01	7.784141333333333023e+03	2.430133855598023140e-01	6.006465366666666483e+01	1.897509962444238153e-03
5.722391687116972753e+04	-1.605900000000000105e+01	1.144770759184670639e-01	-4.977199999999999847e+00	6.928203230275508046e-04	1.634793333333333376e-01	1.177803982936983569e-04	-8.667451196514686274e+01	2.289541518369341555e-01	7.783850666666666257e+03	2.289541518369341555e-01	6.006310933333332969e+01	1.787818702423235942e-03
5.723308595573189814e+04	-1.561066666666666869e+01	1.118679157593280848e-01	-4.964666666666666117e+00	6.350852961085883550e-04	1.656326666666666503e-01	1.148927035687355224e-04	-8.904880383532213273e+01	2.237358315186561697e-01	7.785139666666666926e+03	2.237358315186561697e-01	6.004201000000000477e+01	1.746518128393338568e-03
5.723407390091989510e+04	-1.471433333333333415e+01	1.122619548201001516e-01	-4.963766666666667327e+00	6.350852961085883550e-04	1.657876666666666665e-01	1.154700538379251567e-04	-8.903950748262138859e+01	2.245239096401999424e-01	7.786219333333333452e+03	2.245239096401999424e-01	6.002684733333333611e+01	1.752017488942060044e-03
5.723499439607578097e+04	-1.511800000000000033e+01	1.129536941368324693e-01	-4.961599999999999788e+00	6.548960901462834222e-04	1.661663333333333326e-01	1.164326223854618658e-04	-8.786942217613386674e+01	2.259073882736649386e-01	7.787569666666666308e+03	2.259073882736649386e-01	6.001190566666667081e+01	1.762097452284964701e-03
5.723593115321347432e+04	-1.357033333333333225e+01	1.153179415840955707e-01	-4.963066666666666293e+00	6.928203230275508046e-04	1.659123333333333561e-01	1.195115057222525287e-04	-8.675111516629969799e+01	2.306358831681911414e-01	7.789000666666666802e+03	2.306358831681911414e-01	6.000505100000000169e+01	1.798474083217455272e-03
5.723811460325497319e+04	-1.480733333333333412e+01	1.156270642623665607e-01	-4.962233333333333718e+00	6.928203230275508046e-04	1.660559999999999814e-01	1.200888559914421494e-04	-8.647343901362010854e+01	2.312541285247333434e-01	7.786655666666665638e+03	2.312541285247333434e-01	6.001854000000000156e+01	1.804343185838814959e-03
5.723910754841647577e+04	-1.616566666666666663e+01	1.139719508380991897e-01	-4.962166666666666615e+00	6.928203230275508046e-04	1.660716666666666452e-01	1.179722189519398864e-04	-8.747303453563195319e+01	2.279439016761983794e-01	7.784937999999999192e+03	2.279439016761983794e-01	6.003718100000000391e+01	1.779508630874107903e-03
5.723985319927277305e+04	-1.628833333333333400e+01	1.242313359370300629e-01	-4.968300000000000161e+00	7.505553499465134710e-04	1.649986666666666546e-01	1.331790774358595163e-04	-8.708298561404836846e+01	2.484626718740601259e-01	7.786442999999999302e+03	2.484626718740601259e-01	6.006530466666666257e+01	1.940247698093981905e-03
5.724198368638018292e+04	-1.502400000000000091e+01	1.179911646556325161e-01	-4.966300000000000381e+00	6.928203230275508046e-04	1.653469999999999940e-01	1.225928219758399944e-04	-8.762964435069592639e+01	2.359823293112648379e-01	7.788100333333332856e+03	2.359823293112648379e-01	6.006353633333333164e+01	1.842419149938974302e-03
5.725212687706213183e+04	-1.742300000000000182e+01	1.128567682918073661e-01	-4.982099999999999973e+00	6.928203230275508046e-04	1.626569999999999960e-01	1.158552737014782919e-04	-8.962427820272057488e+01	2.257135365836149266e-01	7.780361666666666679e+03	2.257135365836149266e-01	6.007927766666666258e+01	1.764858497749426320e-03
5.725297806030556967e+04	-1.801399999999999935e+01	1.134989218822079621e-01	-4.983299999999999841e+00	6.928203230275508046e-04	1.624583333333333435e-01	1.162401728223843314e-04	-9.016892868201382782e+01	2.269978437644157021e-01	7.782879666666666708e+03	2.269978437644157021e-01	6.007025133333333855e+01	1.774072453535834558e-03
5.725392793756906758e+04	-1.759199999999999875e+01	1.160352695319993854e-01	-4.982599999999999696e+00	7.125852775477316053e-04	1.625733333333333475e-01	1.200897812286938726e-04	-9.031164495452456720e+01	2.320705390639985766e-01	7.781378333333333103e+03	2.320705390639985766e-01	6.008960099999999471e+01	1.814691856740634169e-03
5.725493896276212763e+04	-1.867033333333333545e+01	1.171230289029637911e-01	-4.979299999999999393e+00	7.318166133366715322e-04	1.631256666666666411e-01	1.218218188813299574e-04	-9.183396378256810522e+01	2.342460578059279708e-01	7.782346000000000458e+03	2.342460578059279708e-01	6.009050133333332866e+01	1.831527962632349162e-03
5.725601482646227669e+04	-1.725233333333333618e+01	1.141596366996881912e-01	-4.976866666666666106e+00	6.928203230275508046e-04	1.635316666666666585e-01	1.175873198001288673e-04	-9.107344444970674147e+01	2.283192733993769652e-01	7.784987000000000080e+03	2.283192733993769652e-01	6.007121233333333521e+01	1.784026135191522011e-03
5.725915331682207034e+04	-1.534066666666666556e+01	1.145587499631962047e-01	-4.967600000000000016e+00	6.928203230275508046e-04	1.651246666666666696e-01	1.193193660354894219e-04	-8.894110333080335806e+01	2.291174999263921874e-01	7.789319333333332906e+03	2.291174999263921874e-01	6.004644666666666808e+01	1.788592655279098000e-03
5.726109954352721252e+04	-1.524533333333333296e+01	1.131424081421099487e-01	-4.965433333333333366e+00	6.928203230275508046e-04	1.654940000000000022e-01	1.172021046454940323e-04	-8.711685912515839902e+01	2.262848162842202582e-01	7.789295333333332565e+03	2.262848162842202582e-01	6.002435766666666694e+01	1.765884311676467954e-03
5.726199109409351513e+04	-1.909366666666666390e+01	1.137250558158591357e-01	-4.966299999999999493e+00	6.928203230275508046e-04	1.653440000000000187e-01	1.175873198001288673e-04	-8.746318422467732034e+01	2.274501116317184934e-01	7.786773666666667850e+03	2.274501116317184934e-01	6.003517599999999987e+01	1.775909025513692716e-03
5.726298979299288476e+04	-1.750566666666667004e+01	1.129084874045396952e-01	-4.969466666666666477e+00	6.928203230275508046e-04	1.647999999999999743e-01	1.160474041071147909e-04	-8.842596004360962070e+01	2.258169748090795848e-01	7.786030333333333147e+03	2.258169748090795848e-01	6.002991233333333554e+01	1.763198377871637952e-03
5.726386954168545344e+04	-1.784633333333333383e+01	1.265924745877799185e-01	-4.973933333333332207e+00	8.082903768654760290e-04	1.640353333333333385e-01	1.356805889662269463e-04	-9.002075501006656566e+01	2.531849491755598369e-01	7.783851333333333059e+03	2.531849491755598369e-01	6.006298599999999510e+01	1.978567030577483774e-03
5.726494074094406824e+04	-1.743233333333333235e+01	1.183772412488184322e-01	-4.971366666666666490e+00	7.318166133366715322e-04	1.644736666666666569e-01	1.237466048916988407e-04	-8.896705669642740588e+01	2.367544824976368645e-01	7.783256666666665296e+03	2.367544824976368645e-01	6.005479199999999906e+01	1.850085524557982565e-03
5.726609034945808526e+04	-1.786366666666667058e+01	1.149380309060746425e-01	-4.970500000000000362e+00	6.928203230275508046e-04	1.646209999999999896e-01	1.195115057222525287e-04	-8.867751923165396022e+01	2.298760618121496735e-01	7.784401000000000749e+03	2.298760618121496735e-01	6.004565266666666190e+01	1.795813468810919392e-03
5.726692271711759531e+04	-1.676866666666666461e+01	1.217405013147545567e-01	-4.974266666666665948e+00	7.505553499465134710e-04	1.639793333333333381e-01	1.287499730312808980e-04	-8.949053547696460953e+01	2.434810026295091134e-01	7.783205666666665820e+03	2.434810026295091134e-01	6.006986766666666000e+01	1.903180808174456369e-03
5.726804217458645871e+04	-1.826200000000000045e+01	1.142877947676875089e-01	-4.973566666666666691e+00	6.928203230275508046e-04	1.640993333333333470e-01	1.183568051838732737e-04	-8.928811320374484239e+01	2.285755895353748512e-01	7.784509333333332506e+03	2.285755895353748512e-01	6.005261699999999792e+01	1.785870955431223019e-03
5.726891272493762517e+04	-1.742366666666666575e+01	1.193210921225696386e-01	-4.975433333333333152e+00	7.505553499465134710e-04	1.637769999999999782e-01	1.252858952777827803e-04	-8.983697138517663916e+01	2.386421842451390829e-01	7.782411666666666861e+03	2.386421842451390829e-01	6.007089866666666467e+01	1.865619784016041109e-03
5.727006585690112115e+04	-1.821599999999999753e+01	1.146207711201069207e-01	-4.973266666666666502e+00	6.928203230275508046e-04	1.641443333333333365e-01	1.187420172755485276e-04	-8.880899927353010526e+01	2.292415422402142022e-01	7.782903333333332739e+03	2.292415422402142022e-01	6.004984133333332608e+01	1.791402636431568135e-03
5.727099014691192133e+04	-1.941833333333333300e+01	1.148988391708470891e-01	-4.976966666666666761e+00	6.928203230275508046e-04	1.635196666666667020e-01	1.183568051838732737e-04	-9.007461676317871024e+01	2.297976783416941782e-01	7.782140333333333729e+03	2.297976783416941782e-01	6.006664566666665905e+01	1.796444902799751312e-03
5.727289700516458834e+04	-1.944033333333333147e+01	1.234236070408749053e-01	-4.978566666666666585e+00	7.702813338860895051e-04	1.632493333333333296e-01	1.312512433803538826e-04	-9.074779530510620873e+01	2.468472140817498106e-01	7.782000000000000000e+03	2.468472140817498106e-01	6.008265300000000053e+01	1.930305626866978463e-03
5.727413663781138166e+04	-1.832833333333333314e+01	1.160799948576320406e-01	-4.978600000000000136e+00	6.928203230275508046e-04	1.632466666666666510e-01	1.208589627991606157e-04	-9.028518606733496199e+01	2.321599897152638869e-01	7.783080666666665820e+03	2.321599897152638869e-01	6.007357266666665652e+01	1.814934718398867339e-03
5.727512065605274984e+04	-1.881699999999999662e+01	1.154669835611994572e-01	-4.980533333333332813e+00	6.928203230275508046e-04	1.629170000000000063e-01	1.198967148099655777e-04	-9.062104698281983417e+01	2.309339671223988866e-01	7.781537666666667064e+03	2.309339671223988866e-01	6.007886400000000293e+01	1.805886133722646274e-03
